Elevate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,1.05,1,20-19,2880,3685,59
MRuiz,0.8,-3,12-15,1965,3591,71
Profeezy,0.84,-3,16-19,2710,3976,53
Skyz,1,0,20-20,2985,3951,46
Wailers,0.82,-3,14-17,2175,3341,66
Totals,0.91,-8,82-90,12715,18544,295
Team Envy,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aches,1.13,2,17-15,2335,4560,66
Decemate,0.74,-5,14-19,2240,3380,65
Fero,1.5,8,24-16,3315,5095,80
Huke,1.11,2,21-19,3055,3915,29
Silly,1,0,13-13,2855,3044,118
Totals,1.09,7,89-82,13800,19994,358
Elevate,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,0.67,-2,4-6,850,1224,0:0
MRuiz,1.4,2,7-5,850,956,1:2
Profeezy,1.8,4,9-5,1500,1935,2:1
Skyz,1.33,2,8-6,1195,1572,1:0
Wailers,4,6,8-2,1175,1840,1:0
Totals,1.5,12,36-24,5570,7527,5:3
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,0.75,-2,6-8,675,1544,0:0
Decemate,0.13,-7,1-8,100,482,0:1
Fero,0.86,-1,6-7,825,1914,1:0
Huke,1.17,1,7-6,950,975,1:1
Silly,0.57,-3,4-7,1165,1191,1:3
Totals,0.67,-12,24-36,3715,6106,3:5
Elevate,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,1.8,8,18-10,2750,3362,0:0
MRuiz,1.5,5,15-10,2210,3208,0:0
Profeezy,1.08,1,14-13,2275,2466,1:1
Skyz,1,0,10-10,2100,2246,1:0
Wailers,1.4,4,14-10,3075,3305,0:0
Totals,1.34,18,71-53,12410,14587,2:1
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,0.56,-7,9-16,1350,3093,0:1
Decemate,0.85,-2,11-13,1150,2045,0:0
Fero,0.57,-6,8-14,1125,2317,1:0
Huke,1.42,5,17-12,2375,2987,0:0
Silly,0.5,-8,8-16,1330,2114,0:1
Totals,0.75,-18,53-71,7330,12556,1:2
Elevate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,1.44,8,26-18,3975,5064,74
MRuiz,0.75,-5,15-20,3235,3473,73
Profeezy,0.74,-6,17-23,2890,3443,83
Skyz,1.09,2,24-22,2720,5262,40
Wailers,1.09,2,25-23,3670,5337,55
Totals,1.01,1,107-106,16490,22579,325
Team Envy,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aches,0.63,-9,15-24,2690,4305,48
Decemate,0.77,-5,17-22,2530,3759,61
Fero,1.11,2,20-18,3260,5110,75
Huke,1.89,16,34-18,4495,5880,79
Silly,0.8,-5,20-25,3160,4094,74
Totals,0.99,-1,106-107,16135,23148,337
Elevate,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,1.17,1,7-6,1100,1461,1:0
MRuiz,0.86,-1,6-7,1260,1274,0:1
Profeezy,0.78,-2,7-9,1500,1496,1:1
Skyz,1.43,3,10-7,1445,2303,5:1
Wailers,1.17,1,7-6,1125,2048,1:0
Totals,1.06,2,37-35,6430,8582,8:3
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,1,0,7-7,775,2111,2:1
Decemate,1,0,9-9,975,1704,0:1
Fero,0.83,-1,5-6,825,1225,0:1
Huke,0.78,-2,7-9,1200,1790,1:4
Silly,1,0,6-6,1610,1452,0:1
Totals,0.92,-3,34-37,5385,8282,3:8
