100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Enable,1.19,3,19-16,2340,2953,79
Kenny,0.83,-4,20-24,3005,4071,33
Octane,1.29,4,18-14,3110,3798,131
Priestahh,1.18,3,20-17,2870,3527,51
Slasher,1.39,7,25-18,3970,5545,77
Totals,1.15,13,102-89,15295,19894,371
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aqua,0.82,-3,14-17,2670,3422,88
Jurd,1,0,19-19,2650,3201,51
Loony,0.65,-8,15-23,2480,3669,34
Nolson,0.73,-6,16-22,2145,3714,31
Temp,1.19,4,25-21,3085,5088,25
Totals,0.87,-13,89-102,13030,19094,229
100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,1.75,3,7-4,1000,1319,1:0
Kenny,1.14,1,8-7,955,1694,1:2
Octane,1.6,3,8-5,1225,1753,0:0
Priestahh,1,0,6-6,910,917,2:1
Slasher,1,0,6-6,800,1597,1:1
Totals,1.25,7,35-28,4890,7280,5:4
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aqua,1,0,7-7,850,1559,1:0
Jurd,0.57,-3,4-7,500,862,0:2
Loony,0.29,-5,2-7,225,705,1:0
Nolson,1.33,2,8-6,900,1533,1:1
Temp,0.88,-1,7-8,1000,1957,1:2
Totals,0.8,-7,28-35,3475,6616,4:5
100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,1.12,3,28-25,3795,5056,1:0
Kenny,0.87,-4,26-30,3975,5292,0:2
Octane,1.32,6,25-19,4950,6363,1:0
Priestahh,0.62,-11,18-29,3175,4003,0:0
Slasher,1.74,17,40-23,5380,8186,1:0
Totals,1.09,11,137-126,21275,28900,3:2
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aqua,1,0,25-25,3775,5370,0:0
Jurd,0.68,-9,19-28,2600,3783,0:0
Loony,1.08,2,26-24,3775,5662,0:0
Nolson,1.15,4,31-27,4845,5941,1:2
Temp,0.76,-8,25-33,3875,5996,1:1
Totals,0.92,-11,126-137,18870,26752,2:3
