Units,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Cammy,1.13,3,27-24,4620,4896,79
Joee,0.82,-4,18-22,3250,2894,96
Nolson,1.32,7,29-22,4480,5615,48
Rated,0.92,-2,24-26,3815,4276,78
Weeman,1.1,2,22-20,3680,5117,76
Totals,1.05,6,120-114,19845,22798,377
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Blazt,1.3,7,30-23,4355,5499,75
Classic,0.81,-5,21-26,3295,4734,78
Methodz,1.13,3,27-24,3880,4868,92
Phantomz,0.79,-5,19-24,3025,4385,85
Saints,0.7,-7,16-23,2875,4487,94
Totals,0.94,-7,113-120,17430,23973,424
Units,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Cammy,0.2,-8,2-10,325,498,0:4
Joee,0.56,-4,5-9,620,834,1:2
Nolson,1.33,2,8-6,1550,2103,1:0
Rated,1,0,8-8,1475,1672,1:1
Weeman,0.33,-6,3-9,550,1106,0:0
Totals,0.62,-16,26-42,4520,6213,3:7
UYU,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Blazt,3,8,12-4,1835,2808,1:0
Classic,1.43,3,10-7,1650,1893,3:1
Methodz,1.5,3,9-6,1100,1897,0:0
Phantomz,1.25,1,5-4,950,1583,1:2
Saints,1.2,1,6-5,975,1240,2:0
Totals,1.62,16,42-26,6510,9421,7:3
Units,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Cammy,1.32,6,25-19,3715,4811,0:1
Joee,1.11,2,20-18,3325,3849,1:0
Nolson,0.94,-1,16-17,3175,4173,0:1
Rated,0.65,-7,13-20,2805,3290,0:0
Weeman,1.71,10,24-14,3800,5071,2:0
Totals,1.11,10,98-88,16820,21194,3:2
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Blazt,0.91,-2,20-22,3380,4470,2:2
Classic,0.89,-2,17-19,2850,3576,0:1
Methodz,0.63,-7,12-19,1825,3548,0:0
Phantomz,1.11,2,20-18,3680,4225,0:0
Saints,0.95,-1,19-20,3025,5030,0:0
Totals,0.9,-10,88-98,14760,20849,2:3
Units,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Cammy,1.53,8,23-15,3695,4459,154
Joee,0.8,-3,12-15,2145,3293,46
Nolson,1.6,9,24-15,2735,4158,43
Rated,1.13,2,18-16,3200,3475,64
Weeman,1.06,1,19-18,3105,4356,62
Totals,1.22,17,96-79,14880,19741,369
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Blazt,0.83,-3,15-18,2580,3854,20
Classic,0.8,-4,16-20,2495,3347,37
Methodz,0.57,-9,12-21,2050,3546,8
Phantomz,0.59,-7,10-17,1735,3215,64
Saints,1.3,6,26-20,3410,4440,43
Totals,0.82,-17,79-96,12270,18402,172
