Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,0.5,-13,13-26,2050,4286,62
General,1.08,2,27-25,3815,5485,32
GodRx,0.8,-5,20-25,3250,5134,49
Kismet,1.13,3,27-24,3920,5153,71
Mayhem,0.77,-6,20-26,3275,4092,50
Totals,0.85,-19,107-126,16310,24150,264
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Brack,2.27,19,34-15,4435,5376,80
Formal,1.21,5,29-24,3680,6192,28
John,0.63,-9,15-24,2725,3646,53
Skyz,1.45,9,29-20,4320,5398,94
Slacked,0.79,-5,19-24,3040,4065,105
Totals,1.18,19,126-107,18200,24677,360
Enigma6,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,1.43,3,10-7,1175,1937,1:0
General,1.83,5,11-6,1575,1786,2:0
GodRx,0.43,-4,3-7,630,1178,0:2
Kismet,1.14,1,8-7,1270,1382,0:3
Mayhem,2,4,8-4,1395,2175,2:0
Totals,1.29,9,40-31,6045,8458,5:5
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Brack,0.44,-5,4-9,600,1190,3:1
Formal,0.63,-3,5-8,525,1081,0:1
John,0.88,-1,7-8,1160,1882,1:1
Skyz,0.56,-4,5-9,575,1369,0:2
Slacked,1.67,4,10-6,1475,1629,1:0
Totals,0.78,-9,31-40,4335,7151,5:5
Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,0.68,-7,15-22,2250,3354,0:1
General,1,0,21-21,3000,4839,1:0
GodRx,1.33,5,20-15,3755,3888,0:0
Kismet,0.95,-1,21-22,3765,3937,0:1
Mayhem,0.89,-2,17-19,2350,4083,0:1
Totals,0.95,-5,94-99,15120,20101,1:3
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Brack,1.41,7,24-17,3875,4438,0:1
Formal,0.95,-1,19-20,2795,4827,1:0
John,1,0,23-23,4200,4992,0:0
Skyz,1.07,1,15-14,2925,3821,0:0
Slacked,0.81,-4,17-21,3100,3481,2:0
Totals,1.03,3,98-95,16895,21559,3:1
Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,0.5,-12,12-24,2040,3269,18
General,0.9,-2,19-21,2645,3675,70
GodRx,1.1,2,23-21,3285,3856,52
Kismet,0.54,-11,13-24,2115,3341,63
Mayhem,0.68,-6,13-19,2480,3667,65
Totals,0.73,-29,80-109,12565,17808,268
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Brack,2.38,18,31-13,3875,4651,96
Formal,2,12,24-12,3470,4642,101
John,0.79,-4,15-19,2765,3799,53
Skyz,1.12,2,19-17,3150,3988,84
Slacked,1.05,1,20-19,2995,3969,28
Totals,1.36,29,109-80,16255,21049,362
