FaZe Clan,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Asim,0.95,-1,21-22,2610,3681,55
Cellium,1.14,3,25-22,3350,4720,41
Skrapz,1.11,2,21-19,2980,4984,53
Zer0,0.73,-7,19-26,2465,4164,44
Zoomaa,0.88,-2,15-17,2665,3224,126
Totals,0.95,-5,101-106,14070,20773,319
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aqua,1.56,10,28-18,4315,5664,139
Huke,0.96,-1,23-24,3370,4778,41
Jurd,0.75,-5,15-20,2855,3201,52
Loony,0.68,-7,15-22,2555,4142,27
Temp,1.47,8,25-17,3645,4695,39
Totals,1.05,5,106-101,16740,22480,298
FaZe Clan,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Asim,1.4,2,7-5,1065,942,0:1
Cellium,1.6,3,8-5,900,1542,1:2
Skrapz,0.67,-2,4-6,1350,1138,0:0
Zer0,2.2,6,11-5,1410,2268,2:0
Zoomaa,0.86,-1,6-7,830,920,1:2
Totals,1.29,8,36-28,5555,6810,4:5
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aqua,0.86,-1,6-7,900,1550,0:1
Huke,0.5,-4,4-8,705,1149,0:1
Jurd,0.57,-3,4-7,875,966,0:1
Loony,0.71,-2,5-7,575,906,1:0
Temp,1.29,2,9-7,1150,2375,4:1
Totals,0.78,-8,28-36,4205,6946,5:4
FaZe Clan,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Asim,0.91,-2,20-22,2950,3562,1:0
Cellium,1.21,4,23-19,3575,4882,0:0
Skrapz,1.08,2,27-25,4475,6425,0:0
Zer0,1.52,12,35-23,4670,6983,1:0
Zoomaa,0.72,-7,18-25,2680,4416,1:1
Totals,1.08,9,123-114,18350,26268,3:1
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aqua,1,0,20-20,3875,5050,1:0
Huke,1.32,7,29-22,4750,5014,0:1
Jurd,0.66,-10,19-29,3575,4646,0:1
Loony,0.68,-8,17-25,3350,3942,0:1
Temp,1.07,2,29-27,4500,5967,0:0
Totals,0.93,-9,114-123,20050,24619,1:3
FaZe Clan,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Asim,0.95,-1,21-22,3265,3954,90
Cellium,0.81,-4,17-21,2940,3936,61
Skrapz,0.86,-3,19-22,3335,4391,86
Zer0,0.95,-1,21-22,2975,4452,12
Zoomaa,0.78,-5,18-23,2585,4494,35
Totals,0.87,-14,96-110,15100,21227,284
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aqua,1.47,8,25-17,3545,4242,106
Huke,0.95,-1,19-20,3005,3375,83
Jurd,0.76,-5,16-21,2670,3783,57
Loony,1.35,6,23-17,3755,4407,74
Temp,1.29,6,27-21,4065,5751,51
Totals,1.15,14,110-96,17040,21558,371
FaZe Clan,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Asim,0.86,-1,6-7,1100,1137,3:1
Cellium,2.8,9,14-5,1900,2694,4:0
Skrapz,1.17,1,7-6,1100,1387,0:0
Zer0,0.57,-3,4-7,525,1394,0:0
Zoomaa,1,0,5-5,965,1141,1:0
Totals,1.2,6,36-30,5590,7753,8:1
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aqua,1.17,1,7-6,835,1429,0:0
Huke,0.57,-3,4-7,665,1207,0:0
Jurd,1,0,8-8,1175,1557,1:4
Loony,0.71,-2,5-7,700,1422,0:2
Temp,0.5,-4,4-8,575,1403,0:2
Totals,0.78,-8,28-36,3950,7018,1:8
