100 Thieves,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Enable,0.78,-5,18-23,2975,4006,30
Kenny,0.91,-2,20-22,2895,4403,38
Octane,0.86,-3,18-21,3345,4368,122
Priestahh,0.88,-3,21-24,2855,3921,64
Slasher,1.29,6,27-21,3610,5594,39
Totals,0.94,-7,104-111,15680,22292,293
Evil Geniuses,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Accuracy,1.27,6,28-22,4245,5720,83
Apathy,0.8,-4,16-20,2690,3392,73
Attach,1.48,10,31-21,3900,5357,68
JKap,0.79,-5,19-24,3365,4862,91
Xotic,1,0,17-17,3500,3496,102
Totals,1.07,7,111-104,17700,22827,417
100 Thieves,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,0.67,-2,4-6,930,899,0:1
Kenny,0.71,-2,5-7,875,1505,0:0
Octane,0.71,-2,5-7,625,1132,1:1
Priestahh,1.14,1,8-7,1020,1157,2:2
Slasher,1.17,1,7-6,1175,1836,2:0
Totals,0.88,-4,29-33,4625,6529,5:4
Evil Geniuses,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Accuracy,1.83,5,11-6,1425,2407,2:2
Apathy,0.29,-5,2-7,675,827,1:2
Attach,1,0,7-7,1000,1227,0:1
JKap,0.67,-2,4-6,675,1188,1:0
Xotic,3,6,9-3,1660,1540,0:0
Totals,1.14,4,33-29,5435,7189,4:5
100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,0.85,-4,22-26,4085,5397,0:0
Kenny,0.73,-9,24-33,3725,5742,0:0
Octane,1.35,7,27-20,5075,6176,0:0
Priestahh,1.36,8,30-22,4325,6250,1:3
Slasher,1.38,8,29-21,4500,6648,1:0
Totals,1.08,10,132-122,21710,30213,2:3
Evil Geniuses,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Accuracy,0.71,-7,17-24,2845,5591,0:0
Apathy,0.75,-8,24-32,3500,5153,2:0
Attach,1.23,6,32-26,4910,7187,0:0
JKap,1.3,7,30-23,4275,5444,0:0
Xotic,0.7,-8,19-27,2880,5071,1:2
Totals,0.92,-10,122-132,18410,28446,3:2
100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Enable,1,0,18-18,3135,3658,89
Kenny,1.44,8,26-18,3475,5406,28
Octane,1.47,7,22-15,4130,5683,80
Priestahh,1.05,1,20-19,2700,4117,55
Slasher,0.89,-2,16-18,2285,3640,59
Totals,1.16,14,102-88,15725,22504,311
Evil Geniuses,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Accuracy,0.94,-1,17-18,2990,3880,71
Apathy,1.16,3,22-19,2805,4153,23
Attach,1.33,6,24-18,3330,4729,52
JKap,0.54,-11,13-24,1645,3790,27
Xotic,0.52,-11,12-23,2150,2881,49
Totals,0.86,-14,88-102,12920,19433,222
100 Thieves,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,0.6,-4,6-10,1280,1255,1:0
Kenny,1.75,6,14-8,2100,2360,1:1
Octane,1.33,3,12-9,1750,2754,1:1
Priestahh,0.67,-3,6-9,850,1327,1:5
Slasher,0.78,-2,7-9,1025,2458,0:0
Totals,1,0,45-45,7005,10154,4:7
Evil Geniuses,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Accuracy,1,0,8-8,1200,2549,0:2
Apathy,1.11,1,10-9,1550,1831,4:1
Attach,1.4,4,14-10,1825,2624,2:0
JKap,0.6,-4,6-10,700,1519,1:0
Xotic,0.88,-1,7-8,1215,1289,0:1
Totals,1,0,45-45,6490,9812,7:4
