Evil Geniuses,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Faccento,1.14,3,25-22,4390,0,85
Felony,0.72,-7,18-25,3905,0,66
Goonjar,1.04,1,24-23,4410,0,38
Royalty,1.43,9,30-21,4025,0,71
Xotic,0.9,-2,18-20,3120,0,72
Totals,1.04,4,115-111,19850,0,332
Gen.G,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Havok,1,0,24-24,3795,0,59
MajorManiak,0.82,-4,18-22,3290,0,47
Maux,1.18,3,20-17,3715,0,55
Nagafen,0.93,-2,25-27,4600,0,68
SpaceLy,0.92,-2,23-25,3015,0,45
Totals,0.96,-5,110-115,18415,0,274
Evil Geniuses,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Faccento,0.71,-2,5-7,950,0,0:3
Felony,0.44,-5,4-9,550,0,1:0
Goonjar,1,0,8-8,1000,0,0:1
Royalty,0.5,-4,4-8,595,0,1:1
Xotic,0.43,-4,3-7,600,0,0:2
Totals,0.62,-15,24-39,3695,0,2:7
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Havok,1.83,5,11-6,1670,0,1:1
MajorManiak,1.2,1,6-5,1660,0,2:0
Maux,0.8,-1,4-5,705,0,1:1
Nagafen,2.67,5,8-3,1515,0,2:0
SpaceLy,1.8,4,9-5,1325,0,1:0
Totals,1.58,14,38-24,6875,0,7:2
Evil Geniuses,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Faccento,0.83,-4,19-23,3180,0,2:0
Felony,0.74,-6,17-23,3505,0,0:0
Goonjar,0.57,-10,13-23,2525,0,0:1
Royalty,0.85,-4,23-27,3200,0,0:1
Xotic,1.32,6,25-19,3875,0,0:1
Totals,0.84,-18,97-115,16285,0,2:3
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Havok,1.17,4,28-24,4350,0,0:1
MajorManiak,0.82,-4,18-22,2820,0,1:0
Maux,1.93,13,27-14,3575,0,1:0
Nagafen,1.5,9,27-18,4370,0,0:1
SpaceLy,0.74,-5,14-19,2725,0,1:0
Totals,1.18,17,114-97,17840,0,3:2
Evil Geniuses,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Faccento,0.38,-13,8-21,2080,0,41
Felony,0.83,-3,15-18,2340,0,10
Goonjar,0.7,-6,14-20,2880,0,21
Royalty,0.74,-5,14-19,2155,0,15
Xotic,1,0,16-16,2475,0,9
Totals,0.71,-27,67-94,11930,0,96
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Havok,1.92,12,25-13,3475,0,92
MajorManiak,0.81,-3,13-16,2135,0,36
Maux,1.33,4,16-12,2605,0,82
Nagafen,2.56,14,23-9,3635,0,130
SpaceLy,1,0,17-17,3310,0,51
Totals,1.4,27,94-67,15160,0,391
