Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Brack,1.65,13,33-20,4215,5824,67
Formal,0.92,-2,23-25,3650,5710,84
John,0.78,-6,21-27,2930,4600,31
Skyz,2.06,19,37-18,5215,6440,153
Slacked,1.12,3,29-26,4265,5398,54
Totals,1.23,27,143-116,20275,27972,389
Units,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Cammy,0.72,-8,21-29,3635,4279,97
Joee,0.97,-1,28-29,4090,5107,60
Nolson,0.69,-9,20-29,2250,3859,25
Rated,0.72,-8,21-29,2945,4126,41
Weeman,0.96,-1,26-27,4940,6842,60
Totals,0.81,-27,116-143,17860,24213,283
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Brack,12,11,12-1,1925,1701,1:1
Formal,1.2,1,6-5,675,985,2:1
John,3,6,9-3,1075,1247,1:0
Skyz,2,3,6-3,1075,1632,1:0
Slacked,0,-5,0-5,100,529,0:0
Totals,1.94,16,33-17,4850,6094,5:2
Units,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Cammy,1.33,2,8-6,1000,1625,0:1
Joee,0.29,-5,2-7,420,451,0:1
Nolson,0.17,-5,1-6,250,499,0:1
Rated,0.14,-6,1-7,200,862,1:2
Weeman,0.71,-2,5-7,625,1593,1:0
Totals,0.52,-16,17-33,2495,5030,2:5
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Brack,1.05,1,22-21,3705,4200,1:0
Formal,0.83,-4,19-23,2925,4633,0:0
John,0.89,-3,24-27,3910,5475,0:2
Skyz,1.73,8,19-11,3145,5530,1:0
Slacked,1.2,4,24-20,2800,3577,0:0
Totals,1.06,6,108-102,16485,23415,2:2
Units,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Cammy,0.6,-10,15-25,2860,3978,1:0
Joee,0.96,-1,24-25,3175,3569,1:0
Nolson,1,0,18-18,3050,5288,0:2
Rated,0.91,-2,21-23,2785,3864,0:0
Weeman,1.41,7,24-17,4075,5363,0:0
Totals,0.94,-6,102-108,15945,22062,2:2
