100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Enable,1.69,9,22-13,3650,4331,106
Kenny,0.76,-5,16-21,2615,3271,28
Octane,1.21,3,17-14,3375,3581,141
Priestahh,1,0,19-19,2875,4810,80
Slasher,2.43,20,34-14,4590,5455,75
Totals,1.33,27,108-81,17105,21448,430
FaZe Clan,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Asim,0.85,-3,17-20,2565,3346,57
Cellium,0.64,-8,14-22,2385,3613,46
Skrapz,0.95,-1,21-22,2855,4636,37
Zer0,0.54,-11,13-24,1950,3741,11
Zoomaa,0.75,-5,15-20,2770,3586,39
Totals,0.74,-28,80-108,12525,18922,190
100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,0.75,-2,6-8,1105,1322,0:0
Kenny,1.29,2,9-7,1800,1610,3:1
Octane,1.14,1,8-7,1110,1894,1:1
Priestahh,1.5,3,9-6,1295,1894,1:2
Slasher,0.78,-2,7-9,975,1728,1:1
Totals,1.05,2,39-37,6285,8448,6:5
FaZe Clan,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Asim,0.33,-6,3-9,475,877,1:2
Cellium,1,0,8-8,1050,1957,1:1
Skrapz,0.75,-2,6-8,1400,1427,2:2
Zer0,1,0,7-7,1255,972,0:1
Zoomaa,1.86,6,13-7,1650,2201,1:0
Totals,0.95,-2,37-39,5830,7434,5:6
100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,1.63,5,13-8,2450,2244,0:0
Kenny,1.64,7,18-11,2500,3265,0:0
Octane,1.44,4,13-9,2200,2513,1:0
Priestahh,1.91,10,21-11,2875,3464,1:1
Slasher,0.5,-6,6-12,1075,1935,0:0
Totals,1.39,20,71-51,11100,13421,2:1
FaZe Clan,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Asim,0.73,-4,11-15,1800,2715,0:0
Cellium,0.57,-6,8-14,1175,2129,1:0
Skrapz,0.79,-3,11-14,1625,2468,0:0
Zer0,0.5,-7,7-14,1000,2153,0:0
Zoomaa,0.93,-1,13-14,1435,2944,0:2
Totals,0.7,-21,50-71,7035,12409,1:2
