Evil Geniuses,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Accuracy,0.81,-4,17-21,3265,4664,93
Apathy,1.15,4,30-26,4600,6178,16
Attach,1.33,7,28-21,4360,5530,79
JKap,1,0,24-24,3130,4371,69
Xotic,1.26,6,29-23,3960,5036,60
Totals,1.11,13,128-115,19315,25779,317
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aqua,1.04,1,24-23,3825,5476,124
Huke,1.08,2,27-25,3805,5492,41
Jurd,0.71,-8,20-28,3240,3886,31
Loony,0.6,-12,18-30,2790,4305,17
Temp,1.18,4,26-22,3645,5831,75
Totals,0.9,-13,115-128,17305,24990,288
Evil Geniuses,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Accuracy,0.83,-1,5-6,550,1135,1:0
Apathy,1.2,1,6-5,1075,1456,1:0
Attach,0.88,-1,7-8,1150,1279,1:1
JKap,1,0,6-6,1000,1188,0:3
Xotic,2.6,8,13-5,2045,1985,1:1
Totals,1.23,7,37-30,5820,7043,4:5
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aqua,0.88,-1,7-8,1000,1352,0:0
Huke,1.13,1,9-8,1140,1479,3:2
Jurd,0.83,-1,5-6,425,995,1:0
Loony,0.86,-1,6-7,1100,1416,0:0
Temp,0.33,-6,3-9,600,1217,1:2
Totals,0.79,-8,30-38,4265,6459,5:4
Evil Geniuses,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Accuracy,1.25,5,25-20,3930,5214,0:0
Apathy,0.83,-4,20-24,3125,4040,2:2
Attach,0.76,-6,19-25,2800,4289,0:0
JKap,0.95,-1,18-19,4225,4888,0:0
Xotic,1,0,21-21,3605,4442,0:0
Totals,0.94,-6,103-109,17685,22873,2:2
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aqua,0.79,-4,15-19,3065,4857,0:0
Huke,1.76,16,37-21,4925,6422,1:0
Jurd,0.8,-4,16-20,3075,3154,0:0
Loony,1,0,19-19,2750,4948,0:0
Temp,0.92,-2,22-24,3000,5901,1:2
Totals,1.06,6,109-103,16815,25282,2:2
Evil Geniuses,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Accuracy,0.48,-11,10-21,1915,3169,45
Apathy,0.74,-6,17-23,2240,2890,27
Attach,0.56,-8,10-18,1160,3393,33
JKap,0.45,-11,9-20,1855,2441,20
Xotic,0.64,-8,14-22,1785,3000,24
Totals,0.58,-44,60-104,8955,14893,149
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aqua,2,9,18-9,3160,4014,103
Huke,0.76,-4,13-17,2605,2626,49
Jurd,2.15,15,28-13,3375,3583,62
Loony,2.75,14,22-8,3330,3917,75
Temp,1.77,10,23-13,4370,5652,71
Totals,1.73,44,104-60,16840,19792,360
Evil Geniuses,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Accuracy,0.83,-1,5-6,875,1185,0:0
Apathy,0.38,-5,3-8,640,954,0:2
Attach,1.38,3,11-8,1350,1646,3:1
JKap,0.5,-4,4-8,425,944,1:2
Xotic,0.86,-1,6-7,990,851,0:0
Totals,0.78,-8,29-37,4280,5580,4:5
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aqua,0.8,-1,4-5,725,1267,0:1
Huke,1.43,3,10-7,1500,1508,3:2
Jurd,1.5,3,9-6,1225,1681,1:0
Loony,1.17,1,7-6,1350,1504,0:0
Temp,1,0,6-6,1000,1308,1:1
Totals,1.2,6,36-30,5800,7268,5:4
