Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,0.88,-3,23-26,3750,5374,18
General,1.21,4,23-19,3925,4912,54
GodRx,1.16,3,22-19,3380,4861,80
Kismet,0.75,-6,18-24,3480,3767,92
Mayhem,1.47,9,28-19,3865,4409,77
Totals,1.07,7,114-107,18400,23323,321
FaZe Clan,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Asim,0.56,-11,14-25,2795,4263,119
Cellium,1.17,4,28-24,3675,5901,88
Skrapz,0.71,-6,15-21,2760,4355,95
Zer0,1.18,4,26-22,3520,4675,47
Zoomaa,1.09,2,24-22,3345,4791,66
Totals,0.94,-7,107-114,16095,23985,415
Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,1.33,3,12-9,1500,2499,2:1
General,0.67,-3,6-9,875,1556,2:2
GodRx,1.83,5,11-6,1440,2557,0:0
Kismet,1.13,1,9-8,1400,1865,3:1
Mayhem,0.38,-5,3-8,650,706,0:0
Totals,1.03,1,41-40,5865,9183,7:4
FaZe Clan,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Asim,1.11,1,10-9,1175,2101,2:2
Cellium,0.44,-5,4-9,575,1099,0:2
Skrapz,0.75,-2,6-8,1150,1272,0:2
Zer0,1.25,2,10-8,1215,1656,1:1
Zoomaa,1,0,10-10,1525,2386,1:0
Totals,0.91,-4,40-44,5640,8514,4:7
Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,0.87,-2,13-15,2025,2867,0:0
General,0.57,-6,8-14,1575,2299,0:0
GodRx,0.69,-4,9-13,1540,1920,1:0
Kismet,0.83,-3,15-18,2175,3183,0:1
Mayhem,0.85,-2,11-13,1550,1820,1:0
Totals,0.77,-17,56-73,8865,12089,2:1
FaZe Clan,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Asim,1.67,6,15-9,2450,2662,0:0
Cellium,1.08,1,13-12,2000,2200,0:1
Skrapz,3.17,13,19-6,2665,3542,0:1
Zer0,1.42,5,17-12,2100,3329,0:0
Zoomaa,0.53,-8,9-17,1725,1730,1:0
Totals,1.3,17,73-56,10940,13463,1:2
