Evil Geniuses,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Accuracy,0.93,-2,25-27,4295,5817,70
Apathy,0.79,-7,26-33,3965,5065,56
Attach,1.11,3,30-27,4245,6745,41
JKap,0.97,-1,28-29,3975,5835,52
Xotic,0.68,-11,23-34,3920,4923,71
Totals,0.88,-18,132-150,20400,28385,290
Units,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Cammy,0.81,-5,22-27,4000,5279,119
Joee,1.37,10,37-27,5185,6405,85
Nolson,1.12,3,29-26,4055,5145,87
Rated,1.46,11,35-24,4625,6521,40
Weeman,0.96,-1,27-28,4795,6227,77
Totals,1.14,18,150-132,22660,29577,408
Evil Geniuses,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Accuracy,3.33,7,10-3,1425,1805,0:0
Apathy,1.4,2,7-5,1065,995,1:2
Attach,0.29,-5,2-7,425,830,0:2
JKap,1.4,2,7-5,1500,1732,1:0
Xotic,1.2,1,6-5,1005,1174,1:1
Totals,1.28,7,32-25,5420,6536,3:5
Units,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Cammy,0.71,-2,5-7,875,1221,3:2
Joee,0.67,-2,4-6,725,713,0:0
Nolson,1,0,6-6,775,1063,0:0
Rated,1,0,6-6,900,1172,1:0
Weeman,0.57,-3,4-7,575,979,1:1
Totals,0.78,-7,25-32,3850,5148,5:3
Evil Geniuses,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Accuracy,0.67,-4,8-12,1125,2619,0:0
Apathy,0.92,-1,11-12,1850,2910,0:2
Attach,2.63,13,21-8,2925,3572,0:0
JKap,1.08,1,13-12,2300,3338,1:1
Xotic,2.22,11,20-9,3325,3939,0:0
Totals,1.38,20,73-53,11525,16378,1:3
Units,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Cammy,0.6,-6,9-15,1545,2139,1:0
Joee,0.62,-5,8-13,1750,1708,0:1
Nolson,0.94,-1,17-18,1750,2700,1:0
Rated,1.08,1,13-12,2000,3043,1:0
Weeman,0.4,-9,6-15,1450,2837,0:0
Totals,0.73,-20,53-73,8495,12427,3:1
Evil Geniuses,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Accuracy,1.17,3,21-18,3875,5682,90
Apathy,0.82,-5,23-28,3260,4974,70
Attach,1.35,8,31-23,4080,6214,72
JKap,0.88,-3,22-25,3135,4051,42
Xotic,0.52,-14,15-29,3130,3600,26
Totals,0.91,-11,112-123,17480,24521,300
Units,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Cammy,1.52,12,35-23,4895,6551,45
Joee,0.92,-2,22-24,2985,4106,79
Nolson,1.13,3,26-23,3205,5366,38
Rated,1.11,2,21-19,3860,4824,48
Weeman,0.83,-4,19-23,2730,4702,113
Totals,1.1,11,123-112,17675,25549,323
Evil Geniuses,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Accuracy,2.67,5,8-3,1225,1653,1:0
Apathy,1.2,1,6-5,940,1416,1:1
Attach,0.67,-2,4-6,675,1033,1:2
JKap,1.5,2,6-4,875,1377,0:0
Xotic,2.5,6,10-4,1595,1607,2:0
Totals,1.55,12,34-22,5310,7086,5:3
Units,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Cammy,0.75,-2,6-8,830,1056,2:1
Joee,0.6,-2,3-5,560,680,0:1
Nolson,0.57,-3,4-7,650,814,1:3
Rated,0.71,-2,5-7,875,1194,0:0
Weeman,0.57,-3,4-7,575,1130,0:0
Totals,0.65,-12,22-34,3490,4874,3:5
