Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aqua,1.38,6,22-16,3445,4733,104
Huke,1.28,5,23-18,3515,4622,66
Jurd,0.89,-2,17-19,3290,3690,87
Loony,1.05,1,22-21,3220,4066,64
Temp,0.95,-1,18-19,2510,5050,53
Totals,1.1,9,102-93,15980,22161,374
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Blazt,0.7,-6,14-20,2495,3282,41
Classic,0.77,-5,17-22,2570,3566,57
Methodz,1.1,2,23-21,3010,4665,44
Phantomz,1,0,20-20,3025,4410,85
Saints,0.95,-1,18-19,2950,4175,19
Totals,0.9,-10,92-102,14050,20098,246
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aqua,2,4,8-4,1325,1434,2:0
Huke,1.86,6,13-7,1425,1773,1:0
Jurd,0.5,-3,3-6,850,1108,0:1
Loony,1.5,2,6-4,1625,1568,0:2
Temp,0.71,-2,5-7,525,1255,2:1
Totals,1.25,7,35-28,5750,7138,5:4
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Blazt,1,0,6-6,775,1037,1:1
Classic,0.63,-3,5-8,665,859,0:2
Methodz,1.5,3,9-6,1050,1680,2:0
Phantomz,0.71,-2,5-7,950,1397,1:2
Saints,0.38,-5,3-8,400,884,0:0
Totals,0.8,-7,28-35,3840,5857,4:5
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aqua,1,0,16-16,3025,4392,1:0
Huke,2.06,18,35-17,5485,6929,1:1
Jurd,1.17,3,21-18,3890,4043,0:0
Loony,0.71,-5,12-17,2500,2636,0:0
Temp,1.05,1,22-21,3475,5424,1:0
Totals,1.19,17,106-89,18375,23424,3:1
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Blazt,0.84,-4,21-25,3625,4851,0:1
Classic,0.95,-1,21-22,3400,4014,0:2
Methodz,1.19,3,19-16,2600,3749,1:0
Phantomz,0.57,-9,12-21,2375,3402,0:0
Saints,0.7,-7,16-23,2650,4311,0:0
Totals,0.83,-18,89-107,14650,20327,1:3
