100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Enable,0.82,-4,18-22,2590,3157,37
Kenny,0.73,-7,19-26,3250,4794,51
Octane,1.35,7,27-20,4460,5105,135
Priestahh,1.45,10,32-22,4520,6139,81
Slasher,1.13,3,27-24,3950,5356,91
Totals,1.08,9,123-114,18770,24551,395
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Brack,0.87,-3,20-23,2865,4724,62
Formal,1.07,2,29-27,3930,6144,35
John,0.88,-3,22-25,3190,4111,41
Skyz,0.86,-3,19-22,2715,3843,87
Slacked,0.92,-2,24-26,4105,5062,57
Totals,0.93,-9,114-123,16805,23884,282
100 Thieves,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,1.14,1,8-7,1405,1997,1:0
Kenny,0.6,-4,6-10,700,1165,2:3
Octane,1.22,2,11-9,1500,2598,2:1
Priestahh,1.43,3,10-7,1565,1771,0:0
Slasher,0.5,-5,5-10,650,987,0:2
Totals,0.93,-3,40-43,5820,8518,5:6
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Brack,1.38,3,11-8,2025,1719,1:0
Formal,0.86,-1,6-7,925,1973,1:2
John,0.56,-4,5-9,1010,1432,2:2
Skyz,1.5,4,12-8,1600,2705,2:0
Slacked,1,0,8-8,1080,1496,0:1
Totals,1.05,2,42-40,6640,9325,6:5
100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,0.95,-1,20-21,3685,4333,0:0
Kenny,1.17,4,28-24,4485,5377,2:0
Octane,1.11,2,21-19,5050,5581,0:1
Priestahh,0.88,-3,23-26,3225,4768,0:0
Slasher,1.74,14,33-19,4925,6081,1:1
Totals,1.15,16,125-109,21370,26140,3:2
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Brack,1.33,7,28-21,4180,5316,0:0
Formal,0.73,-8,22-30,2650,5020,1:2
John,0.88,-3,21-24,3905,4317,0:0
Skyz,0.78,-5,18-23,2550,4457,0:0
Slacked,0.71,-8,20-28,3225,3323,1:1
Totals,0.87,-17,109-126,16510,22433,2:3
100 Thieves,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Enable,0.61,-9,14-23,2435,3153,66
Kenny,0.69,-8,18-26,2675,3713,10
Octane,1.05,1,21-20,3415,4227,84
Priestahh,0.56,-11,14-25,2380,3385,31
Slasher,1.55,11,31-20,4285,5755,44
Totals,0.86,-16,98-114,15190,20233,235
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Brack,1.67,12,30-18,4515,5590,58
Formal,1.11,2,21-19,3515,4241,88
John,0.83,-4,20-24,3720,4380,41
Skyz,1.63,10,26-16,4525,5050,119
Slacked,0.81,-4,17-21,2580,3232,67
Totals,1.16,16,114-98,18855,22493,373
100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,0.86,-1,6-7,1000,1166,0:1
Kenny,0.86,-1,6-7,750,965,2:0
Octane,1.6,3,8-5,1250,1829,1:0
Priestahh,1.17,1,7-6,1105,1441,1:1
Slasher,0.71,-2,5-7,725,1267,2:1
Totals,1,0,32-32,4830,6668,6:3
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Brack,1.17,1,7-6,1125,1279,0:1
Formal,0.88,-1,7-8,750,1681,1:1
John,0.63,-3,5-8,590,1150,1:1
Skyz,2.75,7,11-4,1525,2472,1:2
Slacked,0.29,-5,2-7,650,981,0:1
Totals,0.97,-1,32-33,4640,7563,3:6
