FaZe Clan,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Asim,1.5,11,33-22,5040,5622,95
Cellium,1.26,7,34-27,5520,7151,91
Skrapz,0.76,-7,22-29,3890,4818,82
Zer0,0.69,-9,20-29,3210,5421,42
Zoomaa,0.6,-12,18-30,2490,4165,44
Totals,0.93,-10,127-137,20150,27177,354
Units,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Cammy,1.12,3,29-26,4415,6137,114
Joee,1,0,29-29,3755,5240,66
Nolson,1.16,4,29-25,4300,5702,77
Rated,1.17,4,27-23,4230,5467,99
Weeman,0.96,-1,23-24,4080,4792,68
Totals,1.08,10,137-127,20780,27338,424
FaZe Clan,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Asim,2.4,7,12-5,1750,2170,2:0
Cellium,3.25,9,13-4,1675,2446,2:0
Skrapz,0.83,-1,5-6,850,1459,0:0
Zer0,0.5,-3,3-6,350,877,1:1
Zoomaa,0.33,-4,2-6,315,912,0:3
Totals,1.3,8,35-27,4940,7864,5:4
Units,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Cammy,0.33,-6,3-9,330,1167,2:0
Joee,0.67,-3,6-9,840,1094,1:2
Nolson,1.14,1,8-7,1200,1316,0:1
Rated,1,0,6-6,1075,1633,1:2
Weeman,0.43,-4,3-7,575,1431,0:0
Totals,0.68,-12,26-38,4020,6641,4:5
FaZe Clan,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Asim,0.85,-4,23-27,3375,5166,0:0
Cellium,0.8,-5,20-25,3550,5360,2:0
Skrapz,1,0,20-20,3350,4504,2:0
Zer0,1.74,14,33-19,4650,5883,1:0
Zoomaa,0.91,-2,20-22,3360,4806,0:0
Totals,1.03,3,116-113,18285,25719,5:0
Units,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Cammy,0.91,-2,21-23,2695,3989,0:0
Joee,0.78,-6,21-27,3025,4691,0:4
Nolson,1,0,23-23,3050,5417,0:0
Rated,1.14,3,24-21,3770,6216,0:0
Weeman,1.09,2,24-22,3125,5906,0:1
Totals,0.97,-3,113-116,15665,26219,0:5
FaZe Clan,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Asim,1.5,10,30-20,4615,4955,149
Cellium,1.04,1,25-24,4295,5242,65
Skrapz,1.15,4,31-27,4390,6423,30
Zer0,0.75,-6,18-24,3240,3918,66
Zoomaa,1,0,24-24,4265,5232,94
Totals,1.08,9,128-119,20805,25770,404
Units,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Cammy,0.87,-4,26-30,3705,4648,92
Joee,1,0,24-24,3850,4272,91
Nolson,0.92,-2,22-24,3185,5079,70
Rated,1.08,2,26-24,3940,5702,68
Weeman,0.81,-5,21-26,3610,5115,62
Totals,0.93,-9,119-128,18290,24816,383
FaZe Clan,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Asim,1,0,7-7,850,999,2:0
Cellium,0.5,-3,3-6,600,1641,0:1
Skrapz,0.8,-1,4-5,750,983,0:1
Zer0,0.57,-3,4-7,490,744,1:1
Zoomaa,0.83,-1,5-6,725,755,1:0
Totals,0.74,-8,23-31,3415,5122,4:3
Units,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Cammy,1.2,1,6-5,875,668,1:2
Joee,0.33,-4,2-6,200,280,0:1
Nolson,1.67,2,5-3,950,1222,0:1
Rated,1.6,3,8-5,900,1610,0:0
Weeman,2.5,6,10-4,1700,1863,2:0
Totals,1.35,8,31-23,4625,5643,3:4
