100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Enable,1.44,4,13-9,1750,2559,25
Kenny,1.6,6,16-10,2570,3171,40
Octane,1,0,9-9,1685,1904,93
Priestahh,2.86,13,20-7,2625,3444,68
Slasher,2,7,14-7,2400,3028,129
Totals,1.71,30,72-42,11030,14106,355
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Blazt,0.71,-4,10-14,1775,2555,37
Classic,0.65,-6,11-17,1610,2520,38
Methodz,0.36,-9,5-14,765,1865,11
Phantomz,0.75,-3,9-12,1250,2679,35
Saints,0.47,-8,7-15,935,1350,27
Totals,0.58,-30,42-72,6335,10969,148
100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,1,0,6-6,1050,1237,1:0
Kenny,1.8,4,9-5,1450,1709,1:0
Octane,1.33,2,8-6,1200,1717,2:2
Priestahh,1.6,3,8-5,925,1455,1:1
Slasher,1.2,1,6-5,950,1267,1:0
Totals,1.37,10,37-27,5575,7385,6:3
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Blazt,0.75,-2,6-8,875,1225,1:1
Classic,0.25,-6,2-8,550,803,0:2
Methodz,0.86,-1,6-7,800,1510,2:1
Phantomz,0.86,-1,6-7,875,1660,0:2
Saints,1,0,7-7,950,1644,0:0
Totals,0.73,-10,27-37,4050,6842,3:6
100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,0.62,-10,16-26,2865,3957,0:0
Kenny,0.93,-2,26-28,4445,6094,0:0
Octane,0.88,-3,22-25,3825,5936,2:0
Priestahh,1.16,4,29-25,4850,5932,0:1
Slasher,1.19,5,32-27,4550,7251,0:0
Totals,0.95,-6,125-131,20535,29170,2:1
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Blazt,0.85,-4,22-26,3400,5480,0:1
Classic,1.19,5,32-27,4075,6222,1:0
Methodz,1.16,4,29-25,3960,6496,0:0
Phantomz,0.79,-4,15-19,2450,4010,0:1
Saints,1.14,4,33-29,4025,6573,0:0
Totals,1.04,5,131-126,17910,28781,1:2
