Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Brack,1.75,12,28-16,4375,4733,139
Formal,1,0,19-19,3085,4457,64
John,1.2,4,24-20,3920,4110,68
Skyz,1.75,9,21-12,3345,4326,42
Slacked,1.5,7,21-14,3065,3773,39
Totals,1.4,32,113-81,17790,21399,352
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aqua,0.74,-6,17-23,2045,3093,26
Huke,0.75,-6,18-24,2195,3334,32
Jurd,0.71,-6,15-21,2750,3607,33
Loony,0.9,-2,19-21,2910,4682,39
Temp,0.5,-12,12-24,1950,4583,18
Totals,0.72,-32,81-113,11850,19299,148
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Brack,6.5,11,13-2,2060,1882,1:0
Formal,0.83,-1,5-6,725,1411,1:0
John,0.71,-2,5-7,880,1219,2:2
Skyz,1.2,1,6-5,1100,1320,1:0
Slacked,0.5,-4,4-8,550,1043,0:1
Totals,1.18,5,33-28,5315,6875,5:3
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aqua,1,0,7-7,975,1597,1:0
Huke,1.6,3,8-5,1220,1538,1:3
Jurd,1,0,6-6,650,1324,1:0
Loony,0.43,-4,3-7,450,891,0:1
Temp,0.5,-4,4-8,750,1201,0:1
Totals,0.85,-5,28-33,4045,6551,3:5
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Brack,1.08,1,14-13,2225,2938,1:0
Formal,1.36,4,15-11,2675,4152,0:0
John,0.94,-1,15-16,2400,3016,0:1
Skyz,1.58,7,19-12,3000,3715,0:0
Slacked,1.12,2,19-17,2550,3297,0:1
Totals,1.19,13,82-69,12850,17118,1:2
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aqua,0.38,-10,6-16,1375,2446,0:0
Huke,1,0,15-15,2625,3199,1:0
Jurd,0.94,-1,17-18,2215,3177,1:0
Loony,1.43,6,20-14,2750,3620,0:0
Temp,0.58,-8,11-19,2075,2808,0:1
Totals,0.84,-13,69-82,11040,15250,2:1
