Elevate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Believe,0.56,-8,10-18,2070,2932,81
Lacefield,0.6,-8,12-20,1840,3384,22
MRuiz,0.33,-12,6-18,1450,2518,17
Profeezy,0.86,-3,19-22,2485,3161,36
Wailers,0.88,-2,15-17,2035,3614,42
Totals,0.65,-33,62-95,9880,15609,198
Midnight,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Frosty,2.09,12,23-11,2715,3694,84
LlamaGod,1.7,7,17-10,2470,3506,59
Parasite,0.57,-6,8-14,1500,2791,87
Royalty,1.91,10,21-11,2965,3794,98
Zaptius,1.63,10,26-16,4010,4453,85
Totals,1.53,33,95-62,13660,18238,413
Elevate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Believe,1.83,5,11-6,1500,2430,1:2
Lacefield,0.43,-4,3-7,450,1295,1:2
MRuiz,0.63,-3,5-8,550,1531,1:0
Profeezy,0.88,-1,7-8,1505,1192,0:1
Wailers,2.17,7,13-6,1675,2296,2:1
Totals,1.11,4,39-35,5680,8744,5:6
Midnight,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Frosty,0.71,-2,5-7,725,1350,0:1
LlamaGod,1.33,2,8-6,1610,1422,0:1
Parasite,1,0,8-8,1075,1897,3:1
Royalty,0.9,-1,9-10,1250,2082,2:1
Zaptius,0.63,-3,5-8,755,856,1:1
Totals,0.9,-4,35-39,5415,7607,6:5
Elevate,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Believe,1.16,4,29-25,4450,4669,1:1
Lacefield,1.08,2,26-24,4100,5595,0:1
MRuiz,1,0,20-20,4535,4891,1:0
Profeezy,0.61,-11,17-28,3280,3696,0:1
Wailers,1.04,1,24-23,4285,6298,0:0
Totals,0.97,-4,116-120,20650,25149,2:3
Midnight,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Frosty,0.96,-1,25-26,3300,4962,0:0
LlamaGod,1.05,1,21-20,4180,4348,0:0
Parasite,0.85,-4,22-26,3570,5907,1:1
Royalty,1.39,9,32-23,4825,6264,0:0
Zaptius,0.87,-3,20-23,3100,4071,2:1
Totals,1.02,2,120-118,18975,25552,3:2
Elevate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Believe,0.75,-6,18-24,2655,4091,48
Lacefield,0.77,-5,17-22,2260,4869,52
MRuiz,0.9,-2,18-20,1915,3678,10
Profeezy,0.94,-1,16-17,2695,4449,58
Wailers,0.75,-5,15-20,2165,3379,45
Totals,0.82,-19,84-103,11690,20466,213
Midnight,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Frosty,2.43,20,34-14,4375,5295,49
LlamaGod,1,0,17-17,2945,4096,73
Parasite,0.88,-2,14-16,2510,4340,62
Royalty,0.95,-1,19-20,3215,4191,89
Zaptius,1.12,2,19-17,2515,3401,60
Totals,1.23,19,103-84,15560,21323,333
