eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Abezy,0.96,-1,25-26,4015,5047,26
Arcitys,1,0,27-27,4025,5286,72
Clayster,0.96,-1,24-25,3920,5719,85
Prestinni,0.82,-5,23-28,4040,4339,87
Simp,1.07,2,30-28,4135,5667,77
Totals,0.96,-5,129-134,20135,26058,347
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Alex,1.14,4,32-28,4075,5548,29
Denz,0.65,-9,17-26,3660,4862,64
Dylan,1.58,14,38-24,5765,6567,121
Wuskin,0.92,-2,23-25,3320,4356,26
Zed,0.88,-3,23-26,3005,5333,41
Totals,1.03,4,133-129,19825,26666,281
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,1.75,6,14-8,2575,2525,3:1
Arcitys,0.75,-2,6-8,1100,1830,0:1
Clayster,0.71,-2,5-7,750,1699,2:1
Prestinni,0.57,-3,4-7,850,1265,0:2
Simp,1.43,3,10-7,1400,1452,1:0
Totals,1.05,2,39-37,6675,8771,6:5
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Alex,0.63,-3,5-8,1025,1097,1:0
Denz,1.67,4,10-6,1220,2001,1:1
Dylan,0.8,-2,8-10,1125,1687,1:2
Wuskin,0.67,-3,6-9,895,1230,1:2
Zed,1.14,1,8-7,1575,1705,1:1
Totals,0.93,-3,37-40,5840,7720,5:6
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,1.54,7,20-13,2800,4316,0:1
Arcitys,1.27,3,14-11,2425,2620,0:0
Clayster,0.67,-5,10-15,2125,2525,1:0
Prestinni,1.21,3,17-14,3025,3823,1:1
Simp,1.83,10,22-12,3400,4165,0:0
Totals,1.28,18,83-65,13775,17449,2:2
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Alex,0.88,-2,14-16,2050,2985,0:0
Denz,1,0,14-14,1975,3320,0:0
Dylan,0.72,-5,13-18,1875,2812,1:1
Wuskin,0.65,-6,11-17,1620,3076,0:0
Zed,0.72,-5,13-18,1875,3034,1:1
Totals,0.78,-18,65-83,9395,15227,2:2
