Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
JurNii,0.5,-13,13-26,2335,3768,24
Lucky,1.45,9,29-20,4200,5720,80
MethodZsick,0.85,-4,22-26,3330,5160,88
Mettalz,0.96,-1,24-25,3390,4542,83
Wartex,1.07,2,29-27,3730,5390,42
Totals,0.94,-7,117-124,16985,24580,317
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Crimsix,0.95,-1,18-19,3000,4312,103
Dashy,1.41,9,31-22,4075,5725,31
Karma,0.85,-4,23-27,3335,5504,42
Scump,0.96,-1,24-25,4255,4831,47
TJHaly,1.13,3,27-24,3760,4831,77
Totals,1.05,6,123-117,18425,25203,300
Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,2.2,6,11-5,1400,2276,2:1
Lucky,0.86,-1,6-7,650,1161,1:2
MethodZsick,1,0,5-5,800,1536,1:1
Mettalz,0.83,-1,5-6,805,1106,1:0
Wartex,1.4,2,7-5,1150,951,0:0
Totals,1.21,6,34-28,4805,7030,5:4
OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,0.29,-5,2-7,600,1170,0:1
Dashy,1.29,2,9-7,1175,1696,4:2
Karma,0.71,-2,5-7,825,1035,0:1
Scump,0.88,-1,7-8,1080,1353,0:0
TJHaly,0.71,-2,5-7,725,1185,0:1
Totals,0.78,-8,28-36,4405,6439,4:5
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,0.59,-7,10-17,1975,2686,0:0
Lucky,1.4,6,21-15,3000,4396,0:1
MethodZsick,1.15,2,15-13,2175,3246,0:0
Mettalz,0.67,-6,12-18,1900,2315,0:0
Wartex,0.67,-6,12-18,1625,2110,0:2
Totals,0.86,-11,70-81,10675,14753,0:3
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,1.5,5,15-10,2250,3521,1:0
Dashy,0.88,-2,14-16,2475,3313,1:0
Karma,0.68,-6,13-19,2050,3132,0:0
Scump,1.75,9,21-12,3775,3171,0:0
TJHaly,1.38,5,18-13,3410,4207,1:0
Totals,1.16,11,81-70,13960,17344,3:0
Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
JurNii,1.58,11,30-19,5030,6625,74
Lucky,1.5,10,30-20,5195,5537,135
MethodZsick,1.04,1,24-23,3620,5031,76
Mettalz,1.09,2,24-22,4130,5515,78
Wartex,1.19,4,25-21,3835,3963,123
Totals,1.27,28,133-105,21810,26671,486
OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Crimsix,0.92,-2,22-24,3560,5605,67
Dashy,0.85,-4,22-26,3250,5187,52
Karma,0.39,-19,12-31,2475,3765,21
Scump,0.74,-7,20-27,3625,4510,64
TJHaly,1.16,4,29-25,3970,6338,64
Totals,0.79,-28,105-133,16880,25405,268
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,0.5,-3,3-6,415,686,0:1
Lucky,1.33,2,8-6,875,1916,1:0
MethodZsick,0.83,-1,5-6,800,1181,0:2
Mettalz,0.43,-4,3-7,450,709,1:1
Wartex,0.57,-3,4-7,800,745,0:2
Totals,0.72,-9,23-32,3340,5237,2:6
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,1,0,4-4,600,1221,0:0
Dashy,3.5,5,7-2,850,1130,0:1
Karma,1.4,2,7-5,1050,1622,3:1
Scump,1.4,2,7-5,1350,1206,0:0
TJHaly,1,0,7-7,950,1457,3:0
Totals,1.39,9,32-23,4800,6636,6:2
