Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Envoy,1.04,1,28-27,4200,6287,69
Havok,1.5,13,39-26,4880,6886,80
MajorManiak,1.44,8,26-18,4730,5720,115
Maux,1.17,4,28-24,4560,5635,111
SpaceLy,1.09,2,25-23,3450,4458,56
Totals,1.24,28,146-118,21820,28986,431
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aches,0.56,-14,18-32,3365,4489,58
Assault,0.9,-3,26-29,3650,5239,81
Decemate,0.96,-1,24-25,2975,4392,22
Gunless,0.8,-6,24-30,4025,5003,82
Silly,0.87,-4,26-30,3720,5594,69
Totals,0.81,-28,118-146,17735,24717,312
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,2.75,7,11-4,1675,2189,2:1
Havok,0.83,-1,5-6,715,1061,0:0
MajorManiak,2.25,5,9-4,1150,1161,1:0
Maux,1.33,2,8-6,975,1346,4:0
SpaceLy,1.2,1,6-5,1010,1054,1:0
Totals,1.56,14,39-25,5525,6811,8:1
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,1.17,1,7-6,850,1779,1:2
Assault,0.88,-1,7-8,775,1737,0:1
Decemate,0.67,-3,6-9,830,1037,0:2
Gunless,0.29,-5,2-7,275,713,0:1
Silly,0.33,-6,3-9,675,808,0:2
Totals,0.64,-14,25-39,3405,6074,1:8
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,2.86,13,20-7,2675,3273,0:0
Havok,1.54,7,20-13,2500,3356,1:0
MajorManiak,0.79,-3,11-14,2005,2853,0:1
Maux,2.29,9,16-7,2625,3935,0:0
SpaceLy,1,0,12-12,2150,2678,1:0
Totals,1.49,26,79-53,11955,16095,2:1
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,0.93,-1,13-14,2125,3300,1:0
Assault,0.57,-6,8-14,1875,2892,0:1
Decemate,1.08,1,14-13,2005,2501,0:0
Gunless,0.53,-8,9-17,1475,2272,0:1
Silly,0.43,-12,9-21,1450,2161,0:0
Totals,0.67,-26,53-79,8930,13126,1:2
