Elevate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Believe,0.89,-3,25-28,4055,5291,39
Lacefield,0.74,-8,23-31,3530,5130,67
MRuiz,1.12,3,29-26,4360,5018,45
Profeezy,0.38,-23,14-37,2695,4252,50
Wailers,1.13,3,27-24,3715,5328,34
Totals,0.81,-28,118-146,18355,25019,235
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Crimsix,1.15,3,23-20,3770,6097,85
Dashy,2.1,22,42-20,6410,7446,57
Karma,1.4,8,28-20,4365,5214,72
Scump,1.07,2,32-30,4885,5751,38
TJHaly,0.75,-7,21-28,3580,5375,84
Totals,1.24,28,146-118,23010,29883,336
Elevate,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Believe,1.33,2,8-6,1800,1463,1:1
Lacefield,3.75,11,15-4,1795,2638,3:0
MRuiz,0.86,-1,6-7,925,844,1:1
Profeezy,0.88,-1,7-8,1480,1841,2:0
Wailers,0.86,-1,6-7,1000,1922,1:1
Totals,1.31,10,42-32,7000,8708,8:3
OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,1.43,3,10-7,1500,2115,0:0
Dashy,0.56,-4,5-9,675,1209,2:0
Karma,0.88,-1,7-8,1265,1293,0:5
Scump,0.55,-5,6-11,1330,1889,0:2
TJHaly,0.5,-4,4-8,450,1159,1:1
Totals,0.74,-11,32-43,5220,7665,3:8
Elevate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Believe,0.8,-3,12-15,1275,2332,0:0
Lacefield,0.91,-1,10-11,1600,2364,0:0
MRuiz,1.11,1,10-9,1355,2023,0:0
Profeezy,0.43,-8,6-14,825,1305,1:0
Wailers,0.58,-5,7-12,1425,2233,2:0
Totals,0.74,-16,45-61,6480,10257,3:0
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,0.88,-1,7-8,1625,1628,0:0
Dashy,1.88,7,15-8,2675,2955,0:0
Karma,1.56,5,14-9,2585,2476,0:1
Scump,1.67,6,15-9,2935,2961,0:1
TJHaly,0.91,-1,10-11,2300,2418,0:1
Totals,1.36,16,61-45,12120,12438,0:3
Elevate,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Believe,1,0,29-29,4050,5876,83
Lacefield,1.32,7,29-22,4265,6171,82
MRuiz,1,0,28-28,4350,5789,50
Profeezy,1.15,4,31-27,4730,5893,77
Wailers,1.4,8,28-20,4350,5332,63
Totals,1.15,19,145-126,21745,29061,355
OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Crimsix,1.26,6,29-23,4510,7159,61
Dashy,0.9,-3,27-30,3740,5852,57
Karma,0.86,-4,25-29,3435,5176,86
Scump,0.71,-9,22-31,2950,5276,59
TJHaly,0.72,-9,23-32,3065,5644,65
Totals,0.87,-19,126-145,17700,29107,328
Elevate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Believe,0.88,-1,7-8,1225,1215,0:0
Lacefield,0.86,-1,6-7,850,1708,2:2
MRuiz,0.7,-3,7-10,1275,1691,2:2
Profeezy,0.3,-7,3-10,755,1155,0:1
Wailers,2.43,10,17-7,1850,2925,2:0
Totals,0.95,-2,40-42,5955,8694,6:5
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,1,0,7-7,1350,2340,1:1
Dashy,1.29,2,9-7,1175,1518,0:3
Karma,0.4,-6,4-10,640,1440,2:2
Scump,1.86,6,13-7,1765,1989,0:0
TJHaly,1,0,9-9,1225,2094,2:0
Totals,1.05,2,42-40,6155,9381,5:6
