Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Alex,0.92,-2,22-24,3065,4476,48
Denz,0.55,-9,11-20,2195,3894,84
Dylan,0.96,-1,25-26,3665,4904,44
Wuskin,1.47,8,25-17,3155,4921,60
Zed,1.07,2,29-27,4095,5179,51
Totals,0.98,-2,112-114,16175,23374,287
Team Envy,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aches,0.77,-6,20-26,2355,3605,46
Assault,1.19,4,25-21,3305,5060,71
Decemate,0.83,-4,19-23,2160,3368,46
Gunless,1.23,5,27-22,3460,5673,58
Silly,1.15,3,23-20,3530,4271,157
Totals,1.02,2,114-112,14810,21977,378
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Alex,0.67,-2,4-6,525,1183,0:2
Denz,4,6,8-2,1100,1589,0:0
Dylan,2.5,6,10-4,1315,1184,1:1
Wuskin,2,3,6-3,1085,1149,1:0
Zed,0.5,-2,2-4,600,753,0:1
Totals,1.58,11,30-19,4625,5858,2:4
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,0.17,-5,1-6,125,936,0:0
Assault,0.33,-4,2-6,300,612,0:1
Decemate,1,0,6-6,655,1242,0:1
Gunless,0.67,-2,4-6,400,765,2:0
Silly,0.83,-1,5-6,975,1435,2:0
Totals,0.6,-12,18-30,2455,4990,4:2
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Alex,0.67,-8,16-24,2350,3837,1:0
Denz,0.89,-2,17-19,3125,4416,1:0
Dylan,1.95,20,41-21,5635,6322,0:1
Wuskin,0.52,-13,14-27,2240,3745,0:1
Zed,0.71,-7,17-24,2925,4137,0:0
Totals,0.91,-10,105-115,16275,22457,2:2
Team Envy,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,0.83,-4,19-23,2825,4705,1:0
Assault,1.11,2,21-19,3610,4299,0:0
Decemate,1.27,6,28-22,3730,4719,0:0
Gunless,1.32,6,25-19,4050,5495,0:1
Silly,1,0,22-22,4060,4733,1:1
Totals,1.1,10,115-105,18275,23951,2:2
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Alex,1.11,2,21-19,2955,3833,93
Denz,1.64,7,18-11,2680,3721,47
Dylan,1.53,9,26-17,4060,4804,108
Wuskin,1.38,6,22-16,2840,3417,44
Zed,1.12,2,19-17,2795,3998,36
Totals,1.33,26,106-80,15330,19773,328
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aches,0.5,-13,13-26,1950,3358,19
Assault,0.27,-16,6-22,1290,1966,19
Decemate,1.47,8,25-17,2955,4104,41
Gunless,1.05,1,20-19,2670,4102,55
Silly,0.7,-7,16-23,2280,3636,19
Totals,0.75,-27,80-107,11145,17166,153
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Alex,1.71,5,12-7,1770,2399,1:0
Denz,0.63,-3,5-8,625,1559,1:1
Dylan,1.43,3,10-7,1805,2099,2:2
Wuskin,0.86,-1,6-7,775,1063,1:0
Zed,0.8,-2,8-10,1025,1705,2:1
Totals,1.05,2,41-39,6000,8825,7:4
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,0.67,-3,6-9,1050,1896,1:1
Assault,0.86,-1,6-7,1250,2027,1:1
Decemate,1.38,3,11-8,1560,1741,1:2
Gunless,0.89,-1,8-9,1275,1691,1:0
Silly,1,0,8-8,1425,1313,0:3
Totals,0.95,-2,39-41,6560,8668,4:7
