eUnited,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Abezy,0.74,-7,20-27,3020,4706,63
Arcitys,0.58,-10,14-24,2305,3495,89
Clayster,1.42,8,27-19,3145,6489,16
Prestinni,0.58,-13,18-31,2970,4268,51
Simp,0.5,-14,14-28,2410,3821,49
Totals,0.72,-36,93-129,13850,22779,268
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Envoy,1.82,14,31-17,5190,5860,124
Havok,1.21,5,29-24,4615,5526,65
MajorManiak,1.67,10,25-15,3255,3539,61
Maux,1.12,2,19-17,3740,5236,88
SpaceLy,1.14,3,24-21,3585,4366,82
Totals,1.36,34,128-94,20385,24527,420
eUnited,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,0.29,-5,2-7,540,796,1:3
Arcitys,0.5,-3,3-6,525,620,0:1
Clayster,0.33,-4,2-6,425,973,1:0
Prestinni,0.63,-3,5-8,865,1050,0:1
Simp,1.17,1,7-6,925,1426,0:1
Totals,0.58,-14,19-33,3280,4865,2:6
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,1.25,1,5-4,700,836,0:1
Havok,4,9,12-3,2370,2332,3:0
MajorManiak,2,4,8-4,1175,1251,1:1
Maux,0.4,-3,2-5,650,1742,0:0
SpaceLy,2,3,6-3,795,1086,2:0
Totals,1.74,14,33-19,5690,7247,6:2
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,0.95,-1,21-22,3160,4836,1:0
Arcitys,0.55,-9,11-20,2500,3203,0:0
Clayster,0.78,-4,14-18,3225,4419,0:0
Prestinni,1.14,3,24-21,3265,4024,2:1
Simp,2,17,34-17,5000,6510,0:0
Totals,1.06,6,104-98,17150,22992,3:1
Gen.G,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,1.14,3,25-22,3350,5498,0:1
Havok,0.9,-2,19-21,2725,3704,0:2
MajorManiak,0.75,-5,15-20,3040,3748,0:0
Maux,1.44,8,26-18,4300,5278,0:0
SpaceLy,0.5,-12,12-24,2200,2541,1:0
Totals,0.92,-8,97-105,15615,20769,1:3
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Abezy,1.18,5,33-28,4405,6444,61
Arcitys,1.38,9,33-24,4740,5814,87
Clayster,0.92,-2,23-25,3865,5146,73
Prestinni,0.9,-3,28-31,3645,5438,69
Simp,1.19,5,31-26,4355,5885,69
Totals,1.1,14,148-134,21010,28727,359
Gen.G,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Envoy,1.17,5,35-30,4680,6798,90
Havok,0.9,-3,28-31,3930,5596,54
MajorManiak,0.89,-3,25-28,4355,4870,46
Maux,1.04,1,29-28,4045,5965,56
SpaceLy,0.52,-16,17-33,2900,4065,63
Totals,0.89,-16,134-150,19910,27294,309
eUnited,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,1,0,7-7,1000,1275,0:2
Arcitys,1,0,7-7,950,1129,0:1
Clayster,0.43,-4,3-7,400,1250,0:2
Prestinni,0.57,-3,4-7,540,1239,2:0
Simp,1.14,1,8-7,975,1497,1:1
Totals,0.83,-6,29-35,3865,6390,3:6
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,1.17,1,7-6,1125,1397,1:1
Havok,1.6,3,8-5,1525,1500,2:0
MajorManiak,0.71,-2,5-7,650,1087,1:1
Maux,1.8,4,9-5,1825,1945,1:1
SpaceLy,0.63,-3,5-8,800,919,1:0
Totals,1.1,3,34-31,5925,6848,6:3
