Elevate,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Believe,1.25,4,20-16,3635,4897,93
Lacefield,1.65,11,28-17,4375,5429,75
MRuiz,1.69,11,27-16,4370,5457,74
Profeezy,0.86,-3,18-21,3440,3851,95
Wailers,1.62,8,21-13,2720,4528,60
Totals,1.37,31,114-83,18540,24162,397
Gen.G,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Envoy,1.14,3,25-22,3755,5176,61
Havok,0.73,-7,19-26,2870,4075,64
MajorManiak,0.59,-9,13-22,2170,3513,58
Maux,0.48,-12,11-23,2035,4271,72
SpaceLy,0.71,-6,15-21,2855,4066,58
Totals,0.73,-31,83-114,13685,21101,313
Elevate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Believe,0.57,-3,4-7,400,642,1:2
Lacefield,0.5,-3,3-6,475,987,0:0
MRuiz,0.57,-3,4-7,550,954,1:0
Profeezy,0.67,-2,4-6,1050,1338,1:1
Wailers,0.8,-1,4-5,500,910,0:1
Totals,0.61,-12,19-31,2975,4831,3:4
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,2.25,5,9-4,1275,1639,1:0
Havok,1.25,1,5-4,1080,1218,0:1
MajorManiak,0.8,-1,4-5,465,1102,3:1
Maux,4,6,8-2,1175,1190,0:0
SpaceLy,1,0,4-4,800,900,0:1
Totals,1.58,11,30-19,4795,6049,4:3
Elevate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Believe,1.84,16,35-19,4810,5872,2:0
Lacefield,0.67,-9,18-27,2935,3927,1:1
MRuiz,0.84,-4,21-25,3340,4335,0:0
Profeezy,0.74,-6,17-23,3925,4059,1:0
Wailers,1.1,2,22-20,3400,5283,0:0
Totals,0.99,-1,113-114,18410,23476,4:1
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,1.76,16,37-21,5195,6972,0:1
Havok,0.75,-6,18-24,2900,4178,0:3
MajorManiak,0.77,-5,17-22,3110,3829,1:0
Maux,0.82,-4,18-22,3560,4937,0:0
SpaceLy,1,0,24-24,4120,5848,0:0
Totals,1.01,1,114-113,18885,25764,1:4
Elevate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Believe,1.1,3,32-29,4985,6429,85
Lacefield,0.72,-8,21-29,3485,5636,81
MRuiz,1.28,7,32-25,4715,6194,102
Profeezy,1.12,3,29-26,3980,4582,74
Wailers,0.96,-1,24-25,3260,5690,36
Totals,1.03,4,138-134,20425,28531,378
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Envoy,1.1,3,33-30,4640,6444,103
Havok,0.97,-1,33-34,4865,6423,62
MajorManiak,1.27,6,28-22,3845,4654,36
Maux,0.76,-6,19-25,3775,5158,99
SpaceLy,0.78,-6,21-27,3200,4633,52
Totals,0.97,-4,134-138,20325,27312,352
