eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Abezy,0.96,-1,23-24,3665,4449,95
Arcitys,1,0,22-22,2990,4986,31
Clayster,0.8,-5,20-25,3120,4353,56
Prestinni,1.55,11,31-20,5000,5940,125
Simp,1.37,7,26-19,3725,5455,85
Totals,1.11,12,122-110,18500,25183,392
Midnight,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Frosty,0.95,-1,21-22,2665,3769,24
LlamaGod,1.35,8,31-23,4235,5532,58
Parasite,0.76,-5,16-21,2925,4246,52
Royalty,0.93,-2,25-27,3730,5264,66
Zaptius,0.59,-12,17-29,2580,3879,33
Totals,0.9,-12,110-122,16135,22690,233
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,0.63,-3,5-8,515,813,2:3
Arcitys,1,0,6-6,950,1600,0:0
Clayster,2,5,10-5,1855,1845,1:0
Prestinni,0.44,-5,4-9,635,1102,0:1
Simp,1.25,2,10-8,1175,1862,3:1
Totals,0.97,-1,35-36,5130,7222,6:5
Midnight,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Frosty,0.5,-4,4-8,750,773,0:2
LlamaGod,0.63,-3,5-8,695,1322,2:1
Parasite,0.75,-2,6-8,750,1249,0:1
Royalty,1.33,2,8-6,1100,1595,2:2
Zaptius,1.71,5,12-7,1915,1851,1:0
Totals,0.95,-2,35-37,5210,6790,5:6
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,0.82,-4,18-22,3000,4332,1:0
Arcitys,1.06,1,17-16,3050,4489,0:0
Clayster,1.24,5,26-21,3950,5401,1:0
Prestinni,1.14,3,25-22,4055,5543,0:2
Simp,1.23,5,27-22,3950,5439,0:0
Totals,1.1,10,113-103,18005,25204,2:2
Midnight,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Frosty,1.14,3,24-21,3150,4536,0:0
LlamaGod,1.13,3,26-23,3775,5270,0:0
Parasite,1,0,22-22,3560,5555,1:0
Royalty,0.82,-4,18-22,2925,4120,1:1
Zaptius,0.52,-12,13-25,1975,3072,0:1
Totals,0.91,-10,103-113,15385,22553,2:2
