OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Crimsix,0.6,-8,12-20,1550,3256,12
Dashy,1.17,3,21-18,3005,4090,93
Karma,0.85,-3,17-20,2395,3751,29
Scump,0.57,-9,12-21,1670,2735,18
TJHaly,0.63,-9,15-24,2410,4031,42
Totals,0.75,-26,77-103,11030,17863,194
Team Envy,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aches,0.53,-8,9-17,2060,3532,45
Assault,1.71,10,24-14,2995,3930,53
Decemate,1.59,10,27-17,4255,4694,71
Gunless,1.53,8,23-15,2610,4574,103
Silly,1.43,6,20-14,3285,3348,83
Totals,1.34,26,103-77,15205,20078,355
OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,1.29,2,9-7,925,1819,2:0
Dashy,1.38,3,11-8,1400,1957,0:1
Karma,1.38,3,11-8,1600,2200,2:0
Scump,0.88,-1,7-8,1240,1335,1:1
TJHaly,1,0,8-8,975,1877,2:2
Totals,1.18,7,46-39,6140,9188,7:4
Team Envy,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,1.25,2,10-8,1390,1713,1:1
Assault,1.43,3,10-7,1475,2038,0:1
Decemate,0.9,-1,9-10,1055,1710,1:1
Gunless,0.8,-2,8-10,950,1768,2:4
Silly,0.18,-9,2-11,650,1223,0:0
Totals,0.85,-7,39-46,5520,8452,4:7
OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,0.92,-2,24-26,2920,4871,2:1
Dashy,1.41,9,31-22,4235,6344,0:0
Karma,0.45,-12,10-22,1750,2831,0:0
Scump,0.75,-5,15-20,2920,3571,0:0
TJHaly,1.11,3,30-27,4150,6460,0:1
Totals,0.94,-7,110-117,15975,24077,2:2
Team Envy,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,1,0,24-24,3260,4983,0:1
Assault,1.44,8,26-18,4075,5211,0:0
Decemate,0.91,-2,21-23,3795,4361,0:0
Gunless,0.92,-2,22-24,3350,4224,0:0
Silly,1.14,3,24-21,3475,4482,2:1
Totals,1.06,7,117-110,17955,23261,2:2
