Elevate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Believe,1,0,28-28,4535,5990,57
Lacefield,0.89,-3,24-27,4290,5523,109
MRuiz,0.95,-1,21-22,3515,4499,36
Profeezy,1.08,2,28-26,4515,5864,63
Wailers,1,0,21-21,3110,5301,40
Totals,0.98,-2,122-124,19965,27177,305
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Alex,0.54,-13,15-28,2555,5150,74
Denz,1.45,9,29-20,4145,6142,70
Dylan,1.33,9,36-27,5100,6401,74
Wuskin,0.87,-3,20-23,3260,4361,76
Zed,0.92,-2,23-25,3630,5089,73
Totals,1,0,123-123,18690,27143,367
Elevate,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Believe,1.11,1,10-9,1375,1936,1:2
Lacefield,0.6,-4,6-10,800,1153,2:3
MRuiz,1.29,2,9-7,1550,2262,1:0
Profeezy,0.45,-6,5-11,1325,1207,1:1
Wailers,0.63,-3,5-8,700,1528,0:0
Totals,0.78,-10,35-45,5750,8086,5:6
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Alex,1.5,3,9-6,1225,1321,0:2
Denz,1,0,8-8,1200,2510,1:0
Dylan,0.88,-1,7-8,980,1495,2:1
Wuskin,2.2,6,11-5,1450,2376,3:0
Zed,1.13,1,9-8,1725,1328,0:2
Totals,1.26,9,44-35,6580,9030,6:5
Elevate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Believe,0.89,-2,16-18,2150,3422,0:0
Lacefield,0.81,-3,13-16,1750,3806,0:1
MRuiz,1.31,4,17-13,2425,2888,0:0
Profeezy,0.62,-8,13-21,2000,3344,2:1
Wailers,0.8,-3,12-15,1925,3050,0:0
Totals,0.86,-12,71-83,10250,16510,2:2
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Alex,1.5,5,15-10,2785,4036,0:1
Denz,1.08,1,14-13,2050,3347,1:1
Dylan,1.05,1,21-20,2785,4538,1:0
Wuskin,1.17,2,14-12,2085,2998,0:0
Zed,1.06,1,17-16,2250,3358,0:0
Totals,1.14,10,81-71,11955,18277,2:2
Elevate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Believe,0.52,-13,14-27,2045,3876,32
Lacefield,0.91,-2,20-22,2820,4747,52
MRuiz,0.62,-8,13-21,2475,3411,5
Profeezy,0.86,-3,19-22,2540,4411,46
Wailers,0.73,-4,11-15,1555,2702,16
Totals,0.72,-30,77-107,11435,19147,151
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Alex,1.33,6,24-18,2715,4842,27
Denz,1.83,10,22-12,3450,4695,70
Dylan,1.3,6,26-20,3685,4644,74
Wuskin,1.23,3,16-13,3285,2902,69
Zed,1.36,5,19-14,3005,4411,84
Totals,1.39,30,107-77,16140,21494,324
