Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Envoy,1.83,15,33-18,5015,5716,122
Havok,1.67,12,30-18,4295,4488,86
MajorManiak,0.89,-2,16-18,2680,3739,65
Maux,1.22,4,22-18,3790,5705,78
SpaceLy,0.81,-4,17-21,2630,4009,92
Totals,1.27,25,118-93,18410,23657,443
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
JurNii,0.79,-5,19-24,2485,4435,41
Lucky,0.68,-8,17-25,2610,3962,41
MethodZsick,0.95,-1,18-19,2560,3898,28
Mettalz,0.8,-5,20-25,3025,4766,71
Wartex,0.76,-6,19-25,2690,4881,52
Totals,0.79,-25,93-118,13370,21942,233
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,2.17,7,13-6,1755,2601,2:0
Havok,0.75,-2,6-8,1030,1106,3:2
MajorManiak,1.17,1,7-6,1100,1506,0:0
Maux,1.25,1,5-4,575,1445,1:1
SpaceLy,0.63,-3,5-8,800,1409,0:1
Totals,1.13,4,36-32,5260,8067,6:4
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,1.57,4,11-7,1400,2089,1:0
Lucky,0.57,-3,4-7,685,1201,1:1
MethodZsick,1,0,7-7,825,1444,0:1
Mettalz,0.5,-4,4-8,835,1156,2:4
Wartex,0.71,-2,5-7,850,1218,0:0
Totals,0.86,-5,31-36,4595,7108,4:6
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,2.29,9,16-7,3250,3544,0:0
Havok,1.27,3,14-11,2125,2653,1:1
MajorManiak,3.4,12,17-5,3105,2340,0:0
Maux,0.57,-3,4-7,2000,1891,0:0
SpaceLy,1.33,3,12-9,2000,2040,0:0
Totals,1.62,24,63-39,12480,12468,1:1
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,0.46,-7,6-13,1000,1547,0:0
Lucky,0.64,-5,9-14,1425,2327,0:0
MethodZsick,0.57,-6,8-14,1025,2067,0:1
Mettalz,0.67,-4,8-12,1275,1995,1:0
Wartex,0.8,-2,8-10,1075,1913,0:0
Totals,0.62,-24,39-63,5800,9849,1:1
