Gen.G,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Havok,0.73,-6,16-22,3070,0,50
MajorManiak,0.95,-1,20-21,2835,0,30
Maux,1.38,6,22-16,3835,0,97
Nagafen,0.65,-9,17-26,2550,0,43
SpaceLy,0.86,-3,18-21,2910,0,73
Totals,0.88,-13,93-106,15200,0,293
UYU,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Knight,1.6,12,32-20,4810,0,56
Mayhem,0.8,-4,16-20,3220,0,49
Methodz,1.31,5,21-16,3705,0,79
Proto,1.05,1,21-20,3490,0,99
Skyz,0.94,-1,16-17,3100,0,87
Totals,1.14,13,106-93,18325,0,370
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Havok,3.33,7,10-3,1590,0,3:0
MajorManiak,0.8,-1,4-5,650,0,0:1
Maux,10,9,10-1,1675,0,1:0
Nagafen,1.33,1,4-3,1095,0,0:0
SpaceLy,0.2,-4,1-5,400,0,0:1
Totals,1.71,12,29-17,5410,0,4:2
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Knight,0.83,-1,5-6,625,0,1:1
Mayhem,0.33,-4,2-6,325,0,0:0
Methodz,0.33,-4,2-6,250,0,0:1
Proto,0.5,-3,3-6,500,0,1:2
Skyz,0.83,-1,5-6,600,0,0:0
Totals,0.57,-13,17-30,2300,0,2:4
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Havok,1.5,11,33-22,5195,0,1:1
MajorManiak,0.83,-5,24-29,4635,0,1:0
Maux,1.05,1,23-22,4375,0,1:0
Nagafen,1.35,6,23-17,4085,0,0:0
SpaceLy,0.74,-7,20-27,2975,0,0:1
Totals,1.05,6,123-117,21265,0,3:2
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Knight,0.65,-8,15-23,3705,0,0:0
Mayhem,1.68,15,37-22,4870,0,0:0
Methodz,1.42,8,27-19,4210,0,1:0
Proto,0.74,-8,23-31,4125,0,1:3
Skyz,0.54,-13,15-28,3000,0,0:0
Totals,0.95,-6,117-123,19910,0,2:3
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Havok,0.81,-5,21-26,3705,0,37
MajorManiak,0.84,-3,16-19,3280,0,62
Maux,2.07,16,31-15,4560,0,119
Nagafen,1.29,6,27-21,3890,0,53
SpaceLy,0.91,-2,20-22,3560,0,76
Totals,1.12,12,115-103,18995,0,347
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Knight,0.74,-6,17-23,2900,0,82
Mayhem,1,0,20-20,3385,0,72
Methodz,0.89,-3,24-27,3640,0,28
Proto,0.96,-1,23-24,3280,0,23
Skyz,0.9,-2,19-21,3650,0,89
Totals,0.9,-12,103-115,16855,0,294
