OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Crimsix,1.05,1,21-20,3645,0,79
Karma,1.94,15,31-16,4310,0,48
Scump,1.17,4,27-23,4350,0,52
TJHaly,1.09,2,24-22,3890,0,59
Zoomaa,0.86,-3,18-21,2940,0,85
Totals,1.19,19,121-102,19135,0,323
Red Reserve,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Bance,0.84,-4,21-25,3340,0,41
Joee,0.52,-15,16-31,3515,0,41
Rated,0.82,-4,18-22,3750,0,77
Skrapz,1.05,1,22-21,3945,0,64
Zer0,1.14,3,25-22,3410,0,34
Totals,0.84,-19,102-121,17960,0,257
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,1,0,7-7,775,0,0:0
Karma,0.5,-4,4-8,710,0,1:1
Scump,1,0,7-7,1345,0,2:0
TJHaly,2.17,7,13-6,1725,0,3:2
Zoomaa,0.71,-2,5-7,1005,0,0:1
Totals,1.03,1,36-35,5560,0,6:4
Red Reserve,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Bance,1.67,4,10-6,1400,0,1:2
Joee,0.63,-3,5-8,765,0,2:2
Rated,0.86,-1,6-7,750,0,0:0
Skrapz,0.75,-2,6-8,875,0,0:0
Zer0,0.86,-1,6-7,925,0,1:2
Totals,0.92,-3,33-36,4715,0,4:6
OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,0.89,-2,16-18,3125,0,0:0
Karma,0.69,-8,18-26,2725,0,1:0
Scump,1.6,12,32-20,4790,0,0:0
TJHaly,1.04,1,25-24,3835,0,1:0
Zoomaa,0.5,-13,13-26,2740,0,0:2
Totals,0.91,-10,104-114,17215,0,2:2
Red Reserve,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Bance,1.36,8,30-22,4820,0,1:1
Joee,0.91,-2,21-23,4285,0,0:1
Rated,0.74,-6,17-23,3325,0,0:0
Skrapz,0.9,-2,18-20,3300,0,0:0
Zer0,1.75,12,28-16,3870,0,1:0
Totals,1.1,10,114-104,19600,0,2:2
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Crimsix,1.17,4,27-23,4225,0,94
Karma,1.45,10,32-22,5005,0,83
Scump,1.12,3,29-26,5155,0,76
TJHaly,1.08,2,28-26,4330,0,40
Zoomaa,0.55,-13,16-29,3335,0,51
Totals,1.05,6,132-126,22050,0,344
Red Reserve,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Bance,0.9,-3,26-29,4190,0,36
Joee,0.84,-4,21-25,4570,0,95
Rated,1.24,5,26-21,4370,0,136
Skrapz,0.6,-12,18-30,3600,0,61
Zer0,1.3,8,35-27,4785,0,76
Totals,0.95,-6,126-132,21515,0,404
