Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Denz,0.59,-7,10-17,0,0,32
Seany,0.76,-4,13-17,0,0,21
Tommey,0.94,-1,15-16,0,0,23
Wuskin,0.42,-11,8-19,0,0,26
Zed,1.13,2,17-15,0,0,23
Totals,0.75,-21,63-84,0,0,125
Red Reserve,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Bance,2.1,11,21-10,0,0,52
Joee,0.85,-2,11-13,0,0,44
Rated,0.63,-7,12-19,0,0,100
Skrapz,2.18,13,24-11,0,0,139
Zer0,0.84,-3,16-19,0,0,33
Totals,1.17,12,84-72,0,0,368
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Denz,0.38,-5,3-8,940,0,0:1
Seany,0.63,-3,5-8,800,0,0:0
Tommey,1.17,1,7-6,1325,0,2:2
Wuskin,1.67,4,10-6,1250,0,2:0
Zed,1,0,7-7,1300,0,1:2
Totals,0.91,-3,32-35,5615,0,5:5
Red Reserve,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Bance,0.71,-2,5-7,925,0,1:3
Joee,0.83,-1,5-6,1005,0,1:0
Rated,1,0,7-7,1790,0,1:2
Skrapz,1.14,1,8-7,950,0,1:0
Zer0,1.5,3,9-6,1250,0,1:0
Totals,1.03,1,34-33,5920,0,5:5
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Denz,0.88,-3,21-24,3815,0,0:0
Seany,1.05,1,23-22,4050,0,0:0
Tommey,0.9,-3,27-30,4275,0,1:1
Wuskin,1.36,9,34-25,5675,0,1:1
Zed,0.97,-1,28-29,4425,0,0:1
Totals,1.02,3,133-130,22240,0,2:3
Red Reserve,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Bance,0.89,-3,24-27,3995,0,1:0
Joee,0.81,-6,25-31,4300,0,0:0
Rated,1.13,3,26-23,3900,0,0:1
Skrapz,1.21,5,29-24,4130,0,2:1
Zer0,0.93,-2,26-28,4235,0,0:0
Totals,0.98,-3,130-133,20560,0,3:2
