Evil Geniuses,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Faccento,0.96,-1,23-24,4730,0,59
Felony,1.15,3,23-20,3970,0,26
Goonjar,1.21,4,23-19,3880,0,75
Royalty,0.71,-8,20-28,3560,0,64
Xotic,0.57,-12,16-28,2825,0,5
Totals,0.88,-14,105-119,18965,0,229
Red Reserve,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Bance,0.71,-7,17-24,3040,0,79
Joee,1.39,7,25-18,3960,0,50
Rated,2,16,32-16,4350,0,44
Skrapz,0.91,-2,20-22,3055,0,62
Zer0,1,0,25-25,4520,0,98
Totals,1.13,14,119-105,18925,0,333
Evil Geniuses,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Faccento,0.75,-2,6-8,975,0,0:0
Felony,1,0,6-6,715,0,1:1
Goonjar,0.67,-2,4-6,875,0,1:1
Royalty,0.29,-5,2-7,415,0,2:1
Xotic,0.5,-3,3-6,600,0,0:1
Totals,0.64,-12,21-33,3580,0,4:4
Red Reserve,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Bance,1,0,5-5,850,0,0:1
Joee,3.67,8,11-3,2140,0,1:0
Rated,0.75,-1,3-4,625,0,0:3
Skrapz,1.4,2,7-5,900,0,3:0
Zer0,1.75,3,7-4,1175,0,0:0
Totals,1.57,12,33-21,5690,0,4:4
Evil Geniuses,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Faccento,0.71,-6,15-21,3070,0,2:0
Felony,1,0,22-22,4065,0,1:0
Goonjar,0.71,-5,12-17,2425,0,0:0
Royalty,1.19,3,19-16,3300,0,0:0
Xotic,0.68,-6,13-19,3200,0,2:0
Totals,0.85,-14,81-95,16060,0,5:0
Red Reserve,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Bance,1.12,2,19-17,3695,0,0:0
Joee,1.13,2,18-16,3520,0,0:1
Rated,0.76,-4,13-17,3100,0,0:0
Skrapz,1.47,7,22-15,3430,0,0:2
Zer0,1.44,7,23-16,3665,0,0:2
Totals,1.17,14,95-81,17410,0,0:5
