Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Classic,1,0,18-18,3130,0,57
Formal,1.05,1,22-21,3860,0,87
Gunless,1.5,8,24-16,4535,0,111
John,1.28,5,23-18,4480,0,43
Slacked,2.08,14,27-13,4120,0,77
Totals,1.33,28,114-86,20125,0,375
Midnight,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Brack,0.83,-3,15-18,2780,0,15
Envoy,0.56,-12,15-27,2300,0,27
Jetli,0.59,-11,16-27,2680,0,21
LlamaGod,0.7,-7,16-23,2680,0,23
Parzelion,1.2,4,24-20,3640,0,44
Totals,0.75,-29,86-115,14080,0,130
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,0.75,-1,3-4,1000,0,0:1
Formal,1.2,1,6-5,825,0,1:1
Gunless,5,8,10-2,1360,0,1:1
John,0.83,-1,5-6,830,0,0:1
Slacked,3.67,8,11-3,1350,0,2:0
Totals,1.75,15,35-20,5365,0,4:4
Midnight,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Brack,0.43,-4,3-7,1000,0,0:1
Envoy,0.43,-4,3-7,380,0,0:2
Jetli,0.43,-4,3-7,625,0,1:1
LlamaGod,0.71,-2,5-7,825,0,2:0
Parzelion,0.86,-1,6-7,975,0,1:0
Totals,0.57,-15,20-35,3805,0,4:4
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,0.58,-5,7-12,2015,0,0:0
Formal,2.3,13,23-10,3350,0,0:0
Gunless,2.09,12,23-11,3500,0,2:0
John,1.5,5,15-10,3380,0,0:0
Slacked,0.75,-3,9-12,2150,0,0:1
Totals,1.4,22,77-55,14395,0,2:1
Midnight,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Brack,0.33,-12,6-18,1525,0,1:0
Envoy,0.38,-10,6-16,1785,0,0:0
Jetli,1,0,18-18,2575,0,0:2
LlamaGod,0.92,-1,11-12,2075,0,0:0
Parzelion,1.08,1,14-13,2125,0,0:0
Totals,0.71,-22,55-77,10085,0,1:2
