Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Havok,1.27,7,33-26,4885,0,52
MajorManiak,0.57,-13,17-30,2950,0,24
Maux,1.1,2,23-21,4735,0,119
Nagafen,1.21,5,29-24,4580,0,82
SpaceLy,0.86,-4,25-29,3995,0,31
Totals,0.98,-3,127-130,21145,0,308
OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Crimsix,0.85,-4,22-26,3595,0,76
Karma,0.76,-7,22-29,3505,0,42
Scump,1.08,2,27-25,4080,0,33
TJHaly,1.24,6,31-25,4885,0,75
Zoomaa,1.27,6,28-22,4375,0,106
Totals,1.02,3,130-127,20440,0,332
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Havok,0.86,-1,6-7,980,0,1:1
MajorManiak,2.5,6,10-4,1285,0,4:1
Maux,1.6,3,8-5,1200,0,1:0
Nagafen,1.17,1,7-6,1290,0,1:0
SpaceLy,1,0,8-8,1000,0,1:0
Totals,1.3,9,39-30,5755,0,8:2
OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,0.86,-1,6-7,800,0,1:3
Karma,1.43,3,10-7,1305,0,0:1
Scump,0.88,-1,7-8,1350,0,0:0
TJHaly,0.56,-4,5-9,775,0,1:3
Zoomaa,0.22,-7,2-9,945,0,0:1
Totals,0.75,-10,30-40,5175,0,2:8
Gen.G,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Havok,0.74,-7,20-27,3625,0,0:0
MajorManiak,1,0,21-21,3490,0,1:0
Maux,1.53,9,26-17,4550,0,0:0
Nagafen,0.82,-4,18-22,4155,0,1:0
SpaceLy,1,0,24-24,3925,0,0:2
Totals,0.98,-2,109-111,19745,0,2:2
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,0.61,-9,14-23,2800,0,0:0
Karma,1.3,6,26-20,3375,0,0:0
Scump,1,0,20-20,4110,0,1:1
TJHaly,1,0,25-25,3725,0,1:1
Zoomaa,1.24,5,26-21,4110,0,0:0
Totals,1.02,2,111-109,18120,0,2:2
Gen.G,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Havok,0.65,-8,15-23,3345,0,62
MajorManiak,0.55,-13,16-29,2555,0,0
Maux,0.71,-7,17-24,2925,0,34
Nagafen,1.12,3,28-25,4085,0,64
SpaceLy,0.78,-6,21-27,3090,0,17
Totals,0.76,-31,97-128,16000,0,177
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Crimsix,1.11,2,20-18,3520,0,63
Karma,1.45,9,29-20,4120,0,98
Scump,1.82,14,31-17,4535,0,102
TJHaly,0.89,-3,24-27,2575,0,25
Zoomaa,1.6,9,24-15,4275,0,74
Totals,1.32,31,128-97,19025,0,362
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Havok,2.8,9,14-5,1845,0,4:1
MajorManiak,0.5,-2,2-4,800,0,0:0
Maux,1.75,3,7-4,1175,0,1:0
Nagafen,1.5,2,6-4,1390,0,0:0
SpaceLy,1,0,5-5,1025,0,0:2
Totals,1.55,12,34-22,6235,0,5:3
OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,0.38,-5,3-8,325,0,0:0
Karma,0.43,-4,3-7,390,0,1:1
Scump,0.43,-4,3-7,1075,0,1:1
TJHaly,1.67,4,10-6,1350,0,1:0
Zoomaa,0.43,-4,3-7,475,0,0:3
Totals,0.63,-13,22-35,3615,0,3:5
