Gen.G,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Havok,0.7,-7,16-23,3115,0,27
MajorManiak,0.62,-10,16-26,2985,0,32
Maux,1.24,4,21-17,4240,0,52
Nagafen,0.41,-16,11-27,2025,0,16
SpaceLy,0.82,-4,18-22,3175,0,49
Totals,0.71,-33,82-115,15540,0,176
Midnight,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Brack,1.67,10,25-15,3980,0,57
Envoy,1.67,10,25-15,3755,0,24
Jetli,1.22,4,22-18,3945,0,57
LlamaGod,1.28,5,23-18,4295,0,65
Parzelion,1.25,4,20-16,3105,0,125
Totals,1.4,33,115-82,19080,0,328
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Havok,0.83,-1,5-6,905,0,2:1
MajorManiak,2.67,5,8-3,1315,0,2:0
Maux,1.67,2,5-3,1475,0,0:1
Nagafen,3,4,6-2,900,0,1:0
SpaceLy,3.5,5,7-2,1325,0,0:0
Totals,1.94,15,31-16,5920,0,5:2
Midnight,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Brack,0.5,-3,3-6,625,0,0:1
Envoy,0.5,-3,3-6,300,0,1:2
Jetli,0.33,-4,2-6,325,0,0:1
LlamaGod,0.33,-4,2-6,350,0,0:0
Parzelion,0.86,-1,6-7,725,0,1:1
Totals,0.52,-15,16-31,2325,0,2:5
Gen.G,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Havok,0.88,-3,22-25,3800,0,0:2
MajorManiak,0.67,-8,16-24,2870,0,1:1
Maux,0.85,-3,17-20,3400,0,0:0
Nagafen,0.88,-3,21-24,3535,0,0:0
SpaceLy,1,0,24-24,3275,0,0:1
Totals,0.85,-17,100-117,16880,0,1:4
Midnight,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Brack,1.56,10,28-18,4080,0,1:0
Envoy,1.23,5,27-22,4190,0,1:0
Jetli,1.24,5,26-21,4025,0,2:1
LlamaGod,0.65,-7,13-20,3335,0,0:0
Parzelion,1.21,4,23-19,3800,0,0:0
Totals,1.17,17,117-100,19430,0,4:1
Gen.G,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Havok,1.19,3,19-16,2955,0,68
MajorManiak,0.61,-7,11-18,2205,0,28
Maux,0.67,-6,12-18,1760,0,29
Nagafen,0.72,-5,13-18,2150,0,71
SpaceLy,0.95,-1,18-19,2615,0,58
Totals,0.82,-16,73-89,11685,0,254
Midnight,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Brack,1.13,2,18-16,2995,0,21
Envoy,1.14,2,16-14,2705,0,79
Jetli,0.85,-3,17-20,2720,0,27
LlamaGod,2.2,12,22-10,3295,0,123
Parzelion,1.23,3,16-13,2605,0,53
Totals,1.22,16,89-73,14320,0,303
