Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Classic,0.61,-12,19-31,3745,0,59
Formal,0.93,-2,27-29,4160,0,47
Gunless,1.15,4,31-27,4680,0,44
John,0.82,-5,23-28,4060,0,49
Slacked,1,0,23-23,3635,0,85
Totals,0.89,-15,123-138,20280,0,284
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Crimsix,1.23,5,27-22,4325,0,39
Karma,1.03,1,30-29,4390,0,53
Scump,1.17,4,27-23,4980,0,77
TJHaly,1.22,6,33-27,4780,0,65
Zoomaa,0.95,-1,21-22,4020,0,114
Totals,1.12,15,138-123,22495,0,348
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,0.25,-6,2-8,515,0,0:3
Formal,0.57,-3,4-7,525,0,1:2
Gunless,0.75,-2,6-8,875,0,0:1
John,1.4,2,7-5,825,0,1:1
Slacked,0.67,-2,4-6,750,0,0:0
Totals,0.68,-11,23-34,3490,0,2:7
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,2,5,10-5,1450,0,4:1
Karma,1.5,3,9-6,1455,0,2:0
Scump,0.75,-1,3-4,1300,0,0:0
TJHaly,1.4,2,7-5,1000,0,1:1
Zoomaa,1.67,2,5-3,885,0,0:0
Totals,1.48,11,34-23,6090,0,7:2
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,0.85,-3,17-20,3410,0,1:0
Formal,2.2,12,22-10,3710,0,0:0
Gunless,1.71,10,24-14,4200,0,1:0
John,1.15,3,23-20,3905,0,0:2
Slacked,1.19,3,19-16,3625,0,0:0
Totals,1.31,25,105-80,18850,0,2:2
OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,1.32,6,25-19,3600,0,1:1
Karma,0.55,-10,12-22,2200,0,0:1
Scump,1,0,20-20,3240,0,0:0
TJHaly,0.62,-8,13-21,2475,0,1:0
Zoomaa,0.43,-13,10-23,2320,0,0:0
Totals,0.76,-25,80-105,13835,0,2:2
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Classic,0.77,-5,17-22,3805,0,42
Formal,0.95,-1,18-19,4070,0,95
Gunless,1.27,6,28-22,4420,0,40
John,1.74,14,33-19,5320,0,93
Slacked,2.27,19,34-15,5190,0,122
Totals,1.34,33,130-97,22805,0,392
OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Crimsix,0.86,-4,25-29,3750,0,18
Karma,0.68,-8,17-25,3040,0,29
Scump,0.58,-10,14-24,2805,0,23
TJHaly,0.88,-3,21-24,3085,0,81
Zoomaa,0.69,-9,20-29,2820,0,21
Totals,0.74,-34,97-131,15500,0,172
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,1.29,2,9-7,1595,0,2:1
Formal,1.5,3,9-6,1225,0,2:1
Gunless,1.67,4,10-6,1460,0,0:1
John,0.86,-1,6-7,1150,0,2:0
Slacked,2,6,12-6,1955,0,1:1
Totals,1.44,14,46-32,7385,0,7:4
OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,1.14,1,8-7,1275,0,0:0
Karma,1,0,10-10,1205,0,1:4
Scump,0.67,-3,6-9,1380,0,2:1
TJHaly,0.5,-5,5-10,700,0,1:1
Zoomaa,0.3,-7,3-10,455,0,0:1
Totals,0.7,-14,32-46,5015,0,4:7
