eUnited,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Abezy,0.5,-14,14-28,2920,0,24
Arcitys,1.41,7,24-17,3645,0,76
Clayster,1.15,3,23-20,3825,0,33
JKap,0.58,-10,14-24,2855,0,38
Prestinni,0.6,-12,18-30,2250,0,8
Totals,0.78,-26,93-119,15495,0,179
Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
JurNii,1.59,10,27-17,4150,0,84
Lucky,2.27,19,34-15,5515,0,114
MethodZsick,0.9,-2,18-20,3650,0,77
Mettalz,1.29,6,27-21,3840,0,18
Sukry,0.65,-7,13-20,2795,0,67
Totals,1.28,26,119-93,19950,0,360
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,0.88,-1,7-8,1350,0,1:0
Arcitys,1.14,1,8-7,1565,0,1:0
Clayster,1.43,3,10-7,1675,0,1:0
JKap,0.86,-1,6-7,925,0,0:2
Prestinni,1,0,7-7,1130,0,0:5
Totals,1.06,2,38-36,6645,0,3:7
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,1.43,3,10-7,1615,0,2:0
Lucky,0.5,-4,4-8,650,0,0:0
MethodZsick,1.14,1,8-7,950,0,2:1
Mettalz,0.67,-3,6-9,975,0,1:1
Sukry,0.86,-1,6-7,1150,0,2:1
Totals,0.89,-4,34-38,5340,0,7:3
eUnited,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,1,0,29-29,5115,0,0:0
Arcitys,1.56,9,25-16,4325,0,1:0
Clayster,1.29,5,22-17,4015,0,0:0
JKap,0.79,-6,23-29,4025,0,0:0
Prestinni,0.82,-6,28-34,3875,0,0:4
Totals,1.02,2,127-125,21355,0,1:4
Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,1.17,4,28-24,4670,0,1:0
Lucky,1.17,4,28-24,4935,0,1:0
MethodZsick,0.62,-11,18-29,3200,0,0:0
Mettalz,1.12,3,29-26,4750,0,2:0
Sukry,0.92,-2,22-24,3700,0,0:1
Totals,0.98,-2,125-127,21255,0,4:1
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Abezy,2,12,24-12,3205,0,47
Arcitys,1.77,10,23-13,3780,0,141
Clayster,0.76,-4,13-17,2255,0,35
JKap,1.25,4,20-16,3280,0,57
Prestinni,0.95,-1,18-19,2825,0,53
Totals,1.27,21,98-77,15345,0,333
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
JurNii,1,0,18-18,2955,0,22
Lucky,0.61,-9,14-23,3090,0,20
MethodZsick,0.61,-9,14-23,2155,0,50
Mettalz,1.24,4,21-17,3220,0,62
Sukry,0.59,-7,10-17,2120,0,53
Totals,0.79,-21,77-98,13540,0,207
eUnited,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,1.71,5,12-7,1550,0,1:1
Arcitys,0.71,-2,5-7,565,0,1:2
Clayster,0.71,-2,5-7,650,0,1:2
JKap,0.29,-5,2-7,1095,0,0:1
Prestinni,0.86,-1,6-7,1035,0,0:1
Totals,0.86,-5,30-35,4895,0,3:7
Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,1.17,1,7-6,1380,0,0:0
Lucky,2,5,10-5,1565,0,3:0
MethodZsick,0.5,-4,4-8,960,0,2:1
Mettalz,0.86,-1,6-7,800,0,1:2
Sukry,1.6,3,8-5,1275,0,1:0
Totals,1.13,4,35-31,5980,0,7:3
