Midnight,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Brack,1.42,10,34-24,4705,0,26
Envoy,1.39,9,32-23,4515,0,83
Jetli,0.69,-8,18-26,3490,0,63
LlamaGod,0.75,-6,18-24,4340,0,65
Parzelion,1.58,11,30-19,4385,0,106
Totals,1.14,16,132-116,21435,0,343
OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Crimsix,0.92,-2,23-25,3635,0,96
Karma,0.64,-10,18-28,3265,0,47
Scump,0.96,-1,26-27,4210,0,34
TJHaly,1.08,2,28-26,3910,0,71
Zoomaa,0.81,-5,21-26,3450,0,72
Totals,0.88,-16,116-132,18470,0,320
Midnight,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Brack,5,8,10-2,2375,0,0:1
Envoy,1.75,3,7-4,1455,0,1:2
Jetli,1.29,2,9-7,1350,0,1:1
LlamaGod,0.33,-4,2-6,630,0,0:0
Parzelion,1.2,1,6-5,975,0,1:1
Totals,1.42,10,34-24,6785,0,3:5
OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,1.17,1,7-6,1125,0,1:0
Karma,0.71,-2,5-7,650,0,1:2
Scump,1.14,1,8-7,1605,0,2:0
TJHaly,0.43,-4,3-7,300,0,1:1
Zoomaa,0.14,-6,1-7,400,0,0:0
Totals,0.71,-10,24-34,4080,0,5:3
Midnight,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Brack,1.5,5,15-10,2325,0,0:0
Envoy,1.31,4,17-13,3030,0,0:0
Jetli,1,0,15-15,2250,0,1:1
LlamaGod,2.38,11,19-8,3400,0,1:0
Parzelion,1.25,2,10-8,1950,0,0:0
Totals,1.41,22,76-54,12955,0,2:1
OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,1.08,1,14-13,2275,0,0:1
Karma,0.56,-7,9-16,1675,0,0:1
Scump,0.24,-13,4-17,1065,0,0:0
TJHaly,0.71,-5,12-17,2025,0,0:0
Zoomaa,1.15,2,15-13,2200,0,1:0
Totals,0.71,-22,54-76,9240,0,1:2
