Denial,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,1.05,1,21-20,4330,0,51
Natshay,0.46,-14,12-26,2560,0,33
Rizk,0.84,-3,16-19,3245,0,53
Wailers,1,0,20-20,3535,0,35
Zeeked,0.87,-3,20-23,2850,0,6
Totals,0.82,-19,89-108,16520,0,178
Enigma6,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Diabolic,1.25,4,20-16,3190,0,100
Frosty,2,11,22-11,3870,0,74
General,0.84,-3,16-19,3105,0,70
Kade,1,0,20-20,3445,0,91
Kismet,1.3,7,30-23,4360,0,65
Totals,1.21,19,108-89,17970,0,400
Denial,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,1.38,3,11-8,1450,0,3:0
Natshay,0.63,-3,5-8,755,0,0:1
Rizk,0.75,-2,6-8,940,0,0:2
Wailers,1.6,3,8-5,1450,0,0:1
Zeeked,0.57,-3,4-7,725,0,2:1
Totals,0.94,-2,34-36,5320,0,5:5
Enigma6,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Diabolic,1.57,4,11-7,1635,0,2:0
Frosty,0.71,-2,5-7,700,0,1:0
General,1,0,6-6,825,0,0:2
Kade,1.17,1,7-6,1525,0,1:2
Kismet,0.88,-1,7-8,1350,0,1:1
Totals,1.06,2,36-34,6035,0,5:5
Denial,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,1.24,6,31-25,5350,0,3:0
Natshay,0.89,-3,24-27,4895,0,0:0
Rizk,1.17,4,27-23,5890,0,0:2
Wailers,0.88,-3,21-24,4250,0,0:0
Zeeked,0.92,-2,23-25,3950,0,0:0
Totals,1.02,2,126-124,24335,0,3:2
Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Diabolic,1.08,2,28-26,3875,0,0:0
Frosty,0.92,-2,22-24,3475,0,2:2
General,0.96,-1,22-23,3515,0,0:1
Kade,0.77,-7,23-30,3730,0,0:0
Kismet,1.04,1,29-28,4540,0,0:0
Totals,0.95,-7,124-131,19135,0,2:3
Denial,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,1.17,4,27-23,4550,0,95
Natshay,0.68,-9,19-28,3745,0,73
Rizk,0.95,-1,20-21,3165,0,62
Wailers,1.04,1,25-24,4010,0,62
Zeeked,1,0,21-21,3660,0,58
Totals,0.96,-5,112-117,19130,0,350
Enigma6,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Diabolic,0.78,-5,18-23,2990,0,83
Frosty,1.13,3,26-23,4490,0,66
General,1.72,13,31-18,3980,0,26
Kade,0.8,-5,20-25,3630,0,60
Kismet,0.96,-1,22-23,3780,0,82
Totals,1.04,5,117-112,18870,0,317
