Denial,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,0.83,-3,15-18,3190,0,59
Natshay,1,0,18-18,3065,0,61
Rizk,2.27,14,25-11,3755,0,132
Wailers,1.92,12,25-13,3305,0,82
Zeeked,1.12,2,19-17,2835,0,44
Totals,1.32,25,102-77,16150,0,378
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
JurNii,0.74,-5,14-19,2260,0,21
Lucky,0.85,-3,17-20,2550,0,62
MethodZsick,0.57,-10,13-23,2025,0,38
Mettalz,1.17,3,21-18,3110,0,38
Sukry,0.55,-10,12-22,2050,0,4
Totals,0.75,-25,77-102,11995,0,163
Denial,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,0.71,-2,5-7,700,0,2:1
Natshay,0.33,-6,3-9,750,0,2:1
Rizk,0.57,-3,4-7,645,0,1:1
Wailers,0.88,-1,7-8,1100,0,0:0
Zeeked,0.67,-2,4-6,950,0,0:1
Totals,0.62,-14,23-37,4145,0,5:4
Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,4,9,12-3,1950,0,1:0
Lucky,1.4,2,7-5,1315,0,0:0
MethodZsick,0.83,-1,5-6,850,0,0:0
Mettalz,0.5,-3,3-6,825,0,2:4
Sukry,2.67,5,8-3,1150,0,1:1
Totals,1.52,12,35-23,6090,0,4:5
Denial,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,1.15,4,30-26,4675,0,0:0
Natshay,0.89,-3,25-28,4240,0,1:1
Rizk,1.11,3,30-27,3935,0,1:1
Wailers,0.96,-1,24-25,4225,0,1:0
Zeeked,1.19,4,25-21,4620,0,0:0
Totals,1.06,7,134-127,21695,0,3:2
Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,1.11,3,30-27,6035,0,0:2
Lucky,1.32,8,33-25,5855,0,1:0
MethodZsick,0.8,-6,24-30,3550,0,1:0
Mettalz,0.64,-10,18-28,4300,0,0:1
Sukry,0.92,-2,22-24,4225,0,0:0
Totals,0.95,-7,127-134,23965,0,2:3
Denial,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,1.09,2,25-23,3720,0,67
Natshay,1.17,4,27-23,3650,0,28
Rizk,1,0,22-22,3145,0,21
Wailers,0.8,-4,16-20,2825,0,60
Zeeked,0.73,-6,16-22,2820,0,71
Totals,0.96,-4,106-110,16160,0,247
Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
JurNii,1,0,22-22,4155,0,79
Lucky,1,0,19-19,2845,0,53
MethodZsick,1,0,24-24,3780,0,24
Mettalz,1.09,2,25-23,3190,0,81
Sukry,1.11,2,20-18,4145,0,120
Totals,1.04,4,110-106,18115,0,357
