ExcelerateGG,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Beehzy,1.43,6,20-14,3335,0,50
Believe,1.29,5,22-17,3650,0,57
Fastballa,0.8,-4,16-20,2930,0,51
MRuiz,1.93,14,29-15,4705,0,91
Profeezy,1.77,10,23-13,4680,0,104
Totals,1.39,31,110-79,19300,0,353
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aches,0.74,-6,17-23,2965,0,38
Apathy,0.45,-12,10-22,1970,0,40
Assault,0.63,-9,15-24,2165,0,7
Huke,0.85,-3,17-20,3115,0,56
Silly,0.95,-1,20-21,2940,0,38
Totals,0.72,-31,79-110,13155,0,179
ExcelerateGG,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Beehzy,0.43,-4,3-7,670,0,0:1
Believe,0.5,-3,3-6,575,0,0:0
Fastballa,0.56,-4,5-9,940,0,2:1
MRuiz,0.71,-2,5-7,650,0,0:0
Profeezy,0.88,-1,7-8,1200,0,3:2
Totals,0.62,-14,23-37,4035,0,5:4
Team Envy,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,1.6,3,8-5,1000,0,1:0
Apathy,2,4,8-4,1365,0,0:0
Assault,1,0,4-4,1150,0,0:1
Huke,0.86,-1,6-7,1100,0,0:2
Silly,2.75,7,11-4,1755,0,3:2
Totals,1.54,13,37-24,6370,0,4:5
ExcelerateGG,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Beehzy,0.91,-2,21-23,3450,0,1:0
Believe,1.15,4,30-26,4915,0,2:0
Fastballa,0.97,-1,31-32,4595,0,0:1
MRuiz,1.29,7,31-24,5100,0,0:0
Profeezy,0.81,-5,22-27,3925,0,1:0
Totals,1.02,3,135-132,21985,0,4:1
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,0.77,-7,23-30,3425,0,0:0
Apathy,0.7,-9,21-30,4675,0,0:2
Assault,1,0,21-21,4700,0,0:0
Huke,1.26,7,34-27,5800,0,1:2
Silly,1.22,6,33-27,6185,0,0:0
Totals,0.98,-3,132-135,24785,0,1:4
ExcelerateGG,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Beehzy,0.53,-8,9-17,1590,0,11
Believe,0.47,-9,8-17,1800,0,57
Fastballa,0.67,-7,14-21,2065,0,16
MRuiz,0.59,-7,10-17,2105,0,23
Profeezy,0.94,-1,15-16,2145,0,23
Totals,0.64,-32,56-88,9705,0,130
Team Envy,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aches,1.2,2,12-10,2385,0,51
Apathy,1.31,4,17-13,3020,0,79
Assault,1.67,6,15-9,2670,0,124
Huke,3.44,22,31-9,4120,0,66
Silly,0.87,-2,13-15,1850,0,25
Totals,1.57,32,88-56,14045,0,345
ExcelerateGG,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Beehzy,2,6,12-6,1650,0,1:0
Believe,0.88,-1,7-8,1300,0,0:1
Fastballa,0.75,-2,6-8,1165,0,1:3
MRuiz,0.71,-2,5-7,800,0,1:0
Profeezy,0.75,-2,6-8,1245,0,2:1
Totals,0.97,-1,36-37,6160,0,5:5
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,1.43,3,10-7,1525,0,1:0
Apathy,0.33,-6,3-9,750,0,1:1
Assault,1,0,7-7,1025,0,0:1
Huke,1.29,2,9-7,1300,0,3:1
Silly,1.17,1,7-6,1820,0,0:2
Totals,1,0,36-36,6420,0,5:5
