Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Diabolic,1.21,4,23-19,3670,0,37
Frosty,1.05,1,21-20,3395,0,55
General,0.68,-7,15-22,3130,0,41
Kade,0.48,-11,10-21,2505,0,79
Kismet,0.95,-1,20-21,2865,0,53
Totals,0.86,-14,89-103,15565,0,265
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Abezy,0.84,-3,16-19,2665,0,44
Arcitys,2,15,30-15,4325,0,91
Clayster,1.8,12,27-15,3700,0,102
JKap,0.65,-7,13-20,2325,0,24
Prestinni,0.85,-3,17-20,3215,0,68
Totals,1.16,14,103-89,16230,0,329
Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Diabolic,0.29,-5,2-7,650,0,1:1
Frosty,0.43,-4,3-7,900,0,0:1
General,0.33,-4,2-6,350,0,1:1
Kade,0.29,-5,2-7,350,0,0:0
Kismet,0.86,-1,6-7,925,0,1:1
Totals,0.44,-19,15-34,3175,0,3:4
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,1.25,1,5-4,950,0,1:0
Arcitys,3,6,9-3,1505,0,0:0
Clayster,8,7,8-1,1290,0,0:0
JKap,3,4,6-2,1075,0,1:0
Prestinni,0.8,-1,4-5,555,0,2:3
Totals,2.13,17,32-15,5375,0,4:3
Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Diabolic,0.65,-7,13-20,2400,0,0:1
Frosty,0.95,-1,19-20,2900,0,1:1
General,0.55,-9,11-20,1950,0,0:0
Kade,0.71,-6,15-21,3310,0,0:0
Kismet,0.95,-1,21-22,3350,0,1:0
Totals,0.77,-24,79-103,13910,0,2:2
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,1.71,10,24-14,3500,0,0:1
Arcitys,1.21,3,17-14,3025,0,0:0
Clayster,0.89,-2,16-18,3115,0,1:0
JKap,1.62,8,21-13,3265,0,0:0
Prestinni,1.15,3,23-20,3625,0,1:1
Totals,1.28,22,101-79,16530,0,2:2
