100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Enable,0.65,-6,11-17,2385,0,39
Kenny,1.31,4,17-13,3190,0,95
Octane,1.47,7,22-15,3555,0,71
Priestah,2.46,19,32-13,3975,0,69
Slasher,1.33,5,20-15,3730,0,92
Totals,1.4,29,102-73,16835,0,366
Denial,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,0.76,-5,16-21,2375,0,41
Natshay,0.46,-13,11-24,2090,0,23
Rizk,0.82,-4,18-22,2430,0,17
Wailers,0.48,-11,10-21,1850,0,8
Zeeked,1.29,4,18-14,2865,0,13
Totals,0.72,-29,73-102,11610,0,102
100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,0.57,-3,4-7,1025,0,0:1
Kenny,0.88,-1,7-8,980,0,1:0
Octane,1.67,4,10-6,1575,0,1:0
Priestah,1.38,3,11-8,1565,0,3:1
Slasher,0.75,-2,6-8,975,0,1:2
Totals,1.03,1,38-37,6120,0,6:4
Denial,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,0.63,-3,5-8,980,0,1:3
Natshay,1.43,3,10-7,1630,0,0:1
Rizk,0.78,-2,7-9,1080,0,2:1
Wailers,1.13,1,9-8,1225,0,1:0
Zeeked,0.86,-1,6-7,1200,0,0:1
Totals,0.95,-2,37-39,6115,0,4:6
100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,1.53,8,23-15,3130,0,0:0
Kenny,1.13,2,17-15,3170,0,0:0
Octane,2.25,10,18-8,3300,0,0:1
Priestah,1.14,2,16-14,3075,0,0:0
Slasher,0.71,-5,12-17,2300,0,0:2
Totals,1.25,17,86-69,14975,0,0:3
Denial,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,1,0,17-17,2160,0,0:0
Natshay,0.55,-9,11-20,2145,0,0:0
Rizk,1,0,16-16,2480,0,2:0
Wailers,0.61,-7,11-18,1525,0,1:0
Zeeked,0.93,-1,14-15,2075,0,0:0
Totals,0.8,-17,69-86,10385,0,3:0
