Enigma6,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Diabolic,1.18,3,20-17,3235,0,64
Frosty,1.27,4,19-15,3035,0,67
General,1.2,3,18-15,3285,0,77
Kade,0.89,-2,16-18,3550,0,104
Kismet,1.44,8,26-18,3660,0,34
Totals,1.19,16,99-83,16765,0,346
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
JurNii,0.95,-1,19-20,2935,0,62
Lucky,0.94,-1,16-17,2600,0,44
MethodZsick,0.71,-6,15-21,2440,0,58
Mettalz,0.86,-3,18-21,2985,0,39
Sukry,0.75,-5,15-20,2095,0,28
Totals,0.84,-16,83-99,13055,0,231
Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Diabolic,0.67,-2,4-6,525,0,0:2
Frosty,0.43,-4,3-7,325,0,0:0
General,0.43,-4,3-7,375,0,0:1
Kade,0.67,-2,4-6,700,0,1:1
Kismet,0.57,-3,4-7,665,0,0:2
Totals,0.55,-15,18-33,2590,0,1:6
Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,0.83,-1,5-6,725,0,3:1
Lucky,3.33,7,10-3,1340,0,1:0
MethodZsick,0.75,-1,3-4,945,0,1:0
Mettalz,2.25,5,9-4,1325,0,1:0
Sukry,6,5,6-1,1025,0,0:0
Totals,1.83,15,33-18,5360,0,6:1
Enigma6,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Diabolic,1.57,4,11-7,1500,0,1:0
Frosty,1.31,4,17-13,2675,0,1:0
General,1.64,7,18-11,3160,0,0:0
Kade,1,0,12-12,2125,0,0:0
Kismet,1.89,8,17-9,3065,0,0:1
Totals,1.44,23,75-52,12525,0,2:1
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,0.53,-8,9-17,1955,0,0:0
Lucky,1.09,1,12-11,1725,0,0:0
MethodZsick,0.85,-2,11-13,1850,0,0:1
Mettalz,0.5,-8,8-16,1175,0,1:1
Sukry,0.67,-6,12-18,1675,0,0:0
Totals,0.69,-23,52-75,8380,0,1:2
Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Diabolic,1.29,6,27-21,4415,0,82
Frosty,0.77,-6,20-26,3290,0,52
General,0.84,-4,21-25,3655,0,45
Kade,0.58,-11,15-26,3675,0,65
Kismet,0.72,-7,18-25,3520,0,55
Totals,0.82,-22,101-123,18555,0,299
Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
JurNii,1.63,12,31-19,5400,0,45
Lucky,1.39,7,25-18,4395,0,104
MethodZsick,0.9,-2,19-21,3120,0,66
Mettalz,1.29,6,27-21,4230,0,67
Sukry,0.95,-1,21-22,4515,0,55
Totals,1.22,22,123-101,21660,0,337
Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Diabolic,0.57,-3,4-7,800,0,0:1
Frosty,1.14,1,8-7,1050,0,0:0
General,0.57,-3,4-7,500,0,2:2
Kade,0.38,-5,3-8,650,0,2:0
Kismet,0.43,-4,3-7,495,0,0:1
Totals,0.61,-14,22-36,3495,0,4:4
Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,2.5,6,10-4,1905,0,1:0
Lucky,0.83,-1,5-6,650,0,2:2
MethodZsick,2.25,5,9-4,1420,0,0:0
Mettalz,1,0,5-5,625,0,1:2
Sukry,1.67,2,5-3,825,0,0:0
Totals,1.55,12,34-22,5425,0,4:4
