eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Abezy,1.33,7,28-21,4120,0,43
Arcitys,1.33,5,20-15,3340,0,102
Clayster,1.13,2,17-15,2810,0,23
JKap,1.06,1,17-16,2955,0,71
Prestinni,1.59,10,27-17,3750,0,63
Totals,1.3,25,109-84,16975,0,302
ExcelerateGG,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Beehzy,0.85,-3,17-20,3115,0,49
Believe,0.68,-6,13-19,2740,0,44
Fastballa,0.81,-5,21-26,3305,0,17
MRuiz,0.5,-12,12-24,1970,0,40
Profeezy,1.05,1,21-20,3355,0,39
Totals,0.77,-25,84-109,14485,0,189
eUnited,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,1,0,7-7,875,0,0:0
Arcitys,0.5,-3,3-6,375,0,0:1
Clayster,0.29,-5,2-7,215,0,1:3
JKap,0.29,-5,2-7,465,0,0:0
Prestinni,0.25,-6,2-8,300,0,0:3
Totals,0.46,-19,16-35,2230,0,1:7
ExcelerateGG,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Beehzy,2.5,6,10-4,1190,0,1:1
Believe,1.67,2,5-3,1050,0,0:0
Fastballa,0.75,-1,3-4,350,0,1:0
MRuiz,3,4,6-2,900,0,3:0
Profeezy,3,6,9-3,1525,0,2:0
Totals,2.06,17,33-16,5015,0,7:1
eUnited,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,0.7,-7,16-23,3450,0,0:0
Arcitys,0.82,-4,18-22,3050,0,0:0
Clayster,0.8,-4,16-20,3040,0,1:0
JKap,1,0,19-19,3395,0,0:0
Prestinni,1.29,6,27-21,3745,0,1:2
Totals,0.91,-9,96-105,16680,0,2:2
ExcelerateGG,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Beehzy,1.28,5,23-18,3925,0,0:0
Believe,1.47,8,25-17,4090,0,1:0
Fastballa,0.86,-4,24-28,3455,0,0:2
MRuiz,0.93,-1,14-15,2325,0,0:0
Profeezy,0.95,-1,18-19,3175,0,1:0
Totals,1.07,7,104-97,16970,0,2:2
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Abezy,1.92,12,25-13,3570,0,40
Arcitys,2.13,9,17-8,2805,0,123
Clayster,2,7,14-7,2525,0,81
JKap,1.33,3,12-9,2180,0,44
Prestinni,1.27,4,19-15,2570,0,37
Totals,1.67,35,87-52,13650,0,325
ExcelerateGG,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Beehzy,0.35,-11,6-17,740,0,10
Believe,0.69,-5,11-16,2305,0,30
Fastballa,0.27,-16,6-22,860,0,9
MRuiz,1.07,1,16-15,2650,0,47
Profeezy,0.76,-4,13-17,2370,0,39
Totals,0.6,-35,52-87,8925,0,135
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,1.57,4,11-7,1700,0,3:2
Arcitys,2.33,8,14-6,1765,0,2:1
Clayster,0.86,-1,6-7,990,0,0:0
JKap,1,0,6-6,1790,0,0:0
Prestinni,0.3,-7,3-10,750,0,2:1
Totals,1.11,4,40-36,6995,0,7:4
ExcelerateGG,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Beehzy,1.5,3,9-6,1340,0,0:2
Believe,0.4,-6,4-10,665,0,0:1
Fastballa,0.78,-2,7-9,1230,0,1:2
MRuiz,0.75,-2,6-8,1075,0,1:0
Profeezy,1.25,2,10-8,2450,0,2:2
Totals,0.88,-5,36-41,6760,0,4:7
