Excelerate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Beehzy,1,0,21-21,3050,0,34
Believe,2.06,19,37-18,6280,0,128
Fastballa,0.54,-12,14-26,2960,0,23
MRuiz,1.32,6,25-19,3725,0,56
Profeezy,0.81,-5,21-26,3700,0,49
Totals,1.07,8,118-110,19715,0,290
Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
JurNii,1.05,1,21-20,3935,0,97
Lucky,1.24,5,26-21,4400,0,56
MethodZsick,0.64,-9,16-25,2510,0,46
Mettalz,0.79,-6,22-28,3190,0,34
Sukry,1.04,1,25-24,3810,0,91
Totals,0.93,-8,110-118,17845,0,324
Excelerate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Beehzy,0.57,-3,4-7,540,0,0:2
Believe,0.43,-4,3-7,730,0,0:0
Fastballa,0.43,-4,3-7,940,0,0:3
MRuiz,0.83,-1,5-6,1100,0,1:1
Profeezy,2.17,7,13-6,1650,0,2:0
Totals,0.85,-5,28-33,4960,0,3:6
Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,1.33,2,8-6,1440,0,1:0
Lucky,2,5,10-5,1400,0,1:1
MethodZsick,0.25,-6,2-8,730,0,1:1
Mettalz,1.33,2,8-6,975,0,3:1
Sukry,1.67,2,5-3,650,0,0:0
Totals,1.18,5,33-28,5195,0,6:3
Excelerate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Beehzy,1.44,8,26-18,3350,0,2:0
Believe,0.71,-6,15-21,3575,0,0:0
Fastballa,0.92,-2,24-26,4265,0,0:1
MRuiz,1.3,6,26-20,3875,0,0:0
Profeezy,0.5,-11,11-22,3500,0,0:2
Totals,0.95,-5,102-107,18565,0,2:3
Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,1.3,6,26-20,4455,0,0:0
Lucky,0.71,-6,15-21,3500,0,0:2
MethodZsick,0.58,-11,15-26,2975,0,2:0
Mettalz,1.32,6,25-19,4125,0,1:0
Sukry,1.63,10,26-16,4190,0,0:0
Totals,1.05,5,107-102,19245,0,3:2
