Evil Geniuses,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Faccento,0.75,-7,21-28,0,0,88
Felony,0.67,-10,20-30,0,0,60
Goonjar,0.68,-9,19-28,0,0,92
Royalty,1.2,5,30-25,0,0,78
Xotic,1.04,1,29-28,0,0,38
Totals,0.86,-20,119-139,0,0,356
Midnight,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Brack,1,0,28-28,0,0,112
Envoy,1.04,1,27-26,0,0,29
Jetli,0.87,-4,26-30,0,0,72
LlamaGod,1.26,5,24-19,0,0,104
Parzelion,1.33,8,32-24,0,0,51
Totals,1.08,10,137-127,0,0,368
Evil Geniuses,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Faccento,0.5,-4,4-8,625,0,2:1
Felony,0.25,-6,2-8,225,0,1:2
Goonjar,1.14,1,8-7,1350,0,0:1
Royalty,0.5,-3,3-6,480,0,0:0
Xotic,0.57,-3,4-7,775,0,0:2
Totals,0.58,-15,21-36,3455,0,3:6
Midnight,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Brack,2,4,8-4,1700,0,1:0
Envoy,1.4,2,7-5,1030,0,2:2
Jetli,2.5,6,10-4,1815,0,1:0
LlamaGod,1.33,1,4-3,815,0,1:1
Parzelion,1,0,5-5,850,0,1:0
Totals,1.62,13,34-21,6210,0,6:3
Evil Geniuses,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Faccento,0.57,-6,8-14,1050,0,0:0
Felony,0.71,-4,10-14,1675,0,0:0
Goonjar,0.43,-8,6-14,900,0,0:0
Royalty,0.59,-7,10-17,1500,0,1:2
Xotic,0.47,-9,8-17,875,0,0:0
Totals,0.55,-34,42-76,6000,0,1:2
Midnight,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Brack,1.44,4,13-9,2950,0,1:0
Envoy,2.57,11,18-7,3190,0,0:0
Jetli,1.2,2,12-10,2285,0,0:0
LlamaGod,3,12,18-6,2615,0,0:0
Parzelion,1.5,5,15-10,2330,0,1:1
Totals,1.81,34,76-42,13370,0,2:1
