100 Thieves,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Enable,0.79,-5,19-24,3980,0,56
Kenny,0.85,-4,22-26,3910,0,20
Octane,0.9,-2,19-21,3640,0,79
Priestah,1.8,16,36-20,5445,0,108
Slasher,0.95,-1,20-21,4535,0,75
Totals,1.04,4,116-112,21510,0,338
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Abezy,0.83,-4,20-24,3590,0,53
Arcitys,1.3,6,26-20,3880,0,95
Clayster,0.72,-7,18-25,3640,0,59
JKap,1,0,19-19,3730,0,76
Prestinni,1.04,1,29-28,4530,0,48
Totals,0.97,-4,112-116,19370,0,331
100 Thieves,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,0.43,-4,3-7,855,0,0:4
Kenny,0.63,-3,5-8,1015,0,0:1
Octane,1.29,2,9-7,1375,0,3:0
Priestah,2,7,14-7,1745,0,2:0
Slasher,0.88,-1,7-8,950,0,0:1
Totals,1.03,1,38-37,5940,0,5:6
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,2.33,8,14-6,2100,0,2:1
Arcitys,0.86,-1,6-7,775,0,0:0
Clayster,0.86,-1,6-7,815,0,2:1
JKap,0.44,-5,4-9,1400,0,1:1
Prestinni,0.7,-3,7-10,1125,0,1:2
Totals,0.95,-2,37-39,6215,0,6:5
100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,2.17,14,26-12,3850,0,0:0
Kenny,0.75,-4,12-16,2665,0,0:1
Octane,1.21,3,17-14,2850,0,1:0
Priestah,1.11,2,20-18,3450,0,0:1
Slasher,1,0,14-14,2950,0,0:0
Totals,1.2,15,89-74,15765,0,1:2
eUnited,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,1.5,8,24-16,3375,0,0:0
Arcitys,0.68,-6,13-19,1825,0,1:0
Clayster,0.88,-2,15-17,2270,0,0:0
JKap,0.58,-5,7-12,1755,0,0:0
Prestinni,0.6,-10,15-25,2275,0,1:1
Totals,0.83,-15,74-89,11500,0,2:1
100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Enable,0.95,-1,20-21,3535,0,75
Kenny,0.96,-1,22-23,3590,0,27
Octane,1.24,5,26-21,4500,0,43
Priestah,1,0,23-23,3950,0,93
Slasher,0.91,-2,21-23,3515,0,83
Totals,1.01,1,112-111,19090,0,321
eUnited,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Abezy,1.27,6,28-22,3950,0,72
Arcitys,0.72,-5,13-18,2570,0,123
Clayster,1.04,1,24-23,3700,0,33
JKap,1,0,21-21,3905,0,44
Prestinni,0.89,-3,25-28,3880,0,38
Totals,0.99,-1,111-112,18005,0,310
100 Thieves,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,0.8,-2,8-10,1000,0,2:0
Kenny,1.5,3,9-6,1330,0,1:0
Octane,0.57,-3,4-7,650,0,1:0
Priestah,0.75,-2,6-8,1090,0,1:3
Slasher,0.88,-1,7-8,850,0,2:0
Totals,0.87,-5,34-39,4920,0,7:3
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,1.63,5,13-8,1800,0,1:3
Arcitys,1.17,1,7-6,1050,0,1:0
Clayster,0.17,-5,1-6,200,0,0:2
JKap,1.67,4,10-6,2315,0,0:0
Prestinni,0.89,-1,8-9,1065,0,1:2
Totals,1.11,4,39-35,6430,0,3:7
