eUnited,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Abezy,1.07,2,31-29,0,0,15
Arcitys,1.08,2,27-25,0,0,85
Clayster,0.62,-10,16-26,0,0,8
JKap,1.04,1,24-23,0,0,94
Prestinni,0.74,-8,23-31,0,0,23
Totals,0.9,-13,121-134,0,0,225
Team Envy,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aches,1,0,24-24,0,0,62
Apathy,1.17,4,28-24,0,0,92
Assault,0.89,-3,24-27,0,0,48
Huke,1.05,1,23-22,0,0,74
Silly,1.42,10,34-24,0,0,57
Totals,1.1,12,133-121,0,0,333
eUnited,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,1.17,1,7-6,0,0,0:0
Arcitys,0.57,-3,4-7,0,0,0:0
Clayster,0.63,-3,5-8,0,0,0:0
JKap,0.86,-1,6-7,0,0,0:0
Prestinni,1,0,9-9,0,0,0:0
Totals,0.84,-6,31-37,0,0,0:0
Team Envy,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,1.8,4,9-5,0,0,0:0
Apathy,0.25,-6,2-8,0,0,0:0
Assault,0.43,-4,3-7,0,0,0:0
Huke,2.6,8,13-5,0,0,0:0
Silly,1.67,4,10-6,0,0,0:0
Totals,1.19,6,37-31,0,0,0:0
eUnited,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,0.81,-5,22-27,3750,0,0:1
Arcitys,0.95,-1,18-19,3245,0,1:1
Clayster,0.63,-10,17-27,3295,0,0:0
JKap,1.05,1,22-21,4670,0,1:0
Prestinni,1.08,2,26-24,3825,0,1:0
Totals,0.89,-13,105-118,18785,0,3:2
Team Envy,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,0.92,-2,23-25,3925,0,1:0
Apathy,1.09,2,24-22,4555,0,0:0
Assault,0.59,-9,13-22,2700,0,0:1
Huke,1.32,6,25-19,4025,0,1:2
Silly,1.94,16,33-17,5205,0,0:0
Totals,1.12,13,118-105,20410,0,2:3
