Gen.G,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Havok,1,0,26-26,3940,0,43
MajorManiak,1.38,9,33-24,4715,0,59
Maux,1,0,21-21,4245,0,96
Nagafen,0.83,-5,24-29,4490,0,19
SpaceLy,0.73,-7,19-26,2890,0,23
Totals,0.98,-3,123-126,20280,0,240
Red Reserve,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Bance,0.72,-7,18-25,4145,0,93
Joee,1.3,7,30-23,5075,0,72
Rated,1.24,5,26-21,3905,0,62
Skrapz,1.16,4,29-25,4650,0,74
Zer0,0.79,-6,23-29,3900,0,23
Totals,1.02,3,126-123,21675,0,324
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Havok,4.5,7,9-2,1595,0,1:1
MajorManiak,1.5,2,6-4,825,0,1:1
Maux,2.33,4,7-3,1475,0,0:0
Nagafen,1.2,1,6-5,1025,0,1:2
SpaceLy,2.67,5,8-3,1000,0,1:0
Totals,2.12,19,36-17,5920,0,4:4
Red Reserve,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Bance,0.25,-6,2-8,400,0,0:1
Joee,0.57,-3,4-7,600,0,1:3
Rated,0.63,-3,5-8,655,0,1:0
Skrapz,0.43,-4,3-7,550,0,1:0
Zer0,0.29,-5,2-7,375,0,1:0
Totals,0.43,-21,16-37,2580,0,4:4
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Havok,0.88,-3,23-26,3675,0,2:1
MajorManiak,1.57,12,33-21,4555,0,0:0
Maux,1.18,3,20-17,3660,0,0:0
Nagafen,1.05,1,23-22,3915,0,1:0
SpaceLy,0.48,-14,13-27,2325,0,0:1
Totals,0.99,-1,112-113,18130,0,3:2
Red Reserve,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Bance,0.8,-4,16-20,4235,0,0:1
Joee,1.18,4,26-22,5120,0,1:0
Rated,0.91,-2,21-23,4425,0,1:0
Skrapz,0.96,-1,24-25,4400,0,0:1
Zer0,1.18,4,26-22,4575,0,0:1
Totals,1.01,1,113-112,22755,0,2:3
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Havok,1.21,4,23-19,3915,0,44
MajorManiak,1.44,8,26-18,4215,0,88
Maux,1.54,7,20-13,3440,0,76
Nagafen,1.35,6,23-17,3620,0,87
SpaceLy,1.32,6,25-19,4270,0,77
Totals,1.36,31,117-86,19460,0,372
Red Reserve,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Bance,0.75,-6,18-24,3345,0,35
Joee,0.58,-10,14-24,2790,0,30
Rated,0.85,-3,17-20,2985,0,58
Skrapz,0.78,-5,18-23,3010,0,38
Zer0,0.73,-7,19-26,2645,0,22
Totals,0.74,-31,86-117,14775,0,183
