Enigma6,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Diabolic,0.93,-1,14-15,2160,0,65
Frosty,1.18,3,20-17,2665,0,37
General,0.71,-5,12-17,2020,0,53
Kade,0.86,-2,12-14,2735,0,137
Kismet,1.11,2,20-18,2585,0,30
Totals,0.96,-3,78-81,12165,0,322
Excelerate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Beehzy,1,0,12-12,1990,0,79
Believe,1.19,3,19-16,3250,0,10
MRuiz,1.19,3,19-16,3125,0,75
Profeezy,0.88,-2,14-16,2090,0,32
RobbieB3319,0.94,-1,17-18,2645,0,24
Totals,1.04,3,81-78,13100,0,220
Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Diabolic,0.5,-4,4-8,600,0,0:2
Frosty,0.67,-3,6-9,940,0,0:0
General,1,0,7-7,1325,0,1:2
Kade,0.6,-4,6-10,850,0,1:0
Kismet,0.78,-2,7-9,1315,0,2:2
Totals,0.7,-13,30-43,5030,0,4:6
Excelerate,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Beehzy,1.6,3,8-5,890,0,1:2
Believe,1.5,3,9-6,1325,0,2:0
MRuiz,1.5,3,9-6,1395,0,1:1
Profeezy,0.89,-1,8-9,1475,0,1:1
RobbieB3319,1.8,4,9-5,1570,0,1:0
Totals,1.39,12,43-31,6655,0,6:4
Enigma6,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Diabolic,1.38,5,18-13,3050,0,2:1
Frosty,0.75,-4,12-16,2835,0,0:0
General,1.27,3,14-11,2610,0,0:0
Kade,0.67,-4,8-12,2060,0,0:0
Kismet,1.92,11,23-12,3445,0,1:0
Totals,1.17,11,75-64,14000,0,3:1
Excelerate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Beehzy,0.75,-4,12-16,2365,0,0:0
Believe,1.13,2,17-15,2495,0,0:0
MRuiz,0.93,-1,13-14,2355,0,1:0
Profeezy,0.38,-10,6-16,1850,0,0:2
RobbieB3319,1.14,2,16-14,2550,0,0:1
Totals,0.85,-11,64-75,11615,0,1:3
Enigma6,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Diabolic,2,9,18-9,2730,0,115
Frosty,1,0,13-13,1975,0,53
General,1.08,1,13-12,2335,0,46
Kade,2.83,11,17-6,3180,0,91
Kismet,1.14,2,16-14,2765,0,77
Totals,1.43,23,77-54,12985,0,382
Excelerate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Beehzy,0.93,-1,14-15,1775,0,1
Believe,0.47,-9,8-17,1850,0,19
MRuiz,0.47,-9,8-17,1695,0,12
Profeezy,0.46,-7,6-13,1365,0,45
RobbieB3319,1.2,3,18-15,2395,0,27
Totals,0.7,-23,54-77,9080,0,104
