Denial,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,0.88,-3,23-26,3725,0,55
Natshay,0.59,-12,17-29,3160,0,82
Rizk,0.88,-3,21-24,3360,0,39
Wailers,1.4,8,28-20,3660,0,17
Zeeked,0.83,-4,19-23,3685,0,64
Totals,0.89,-14,108-122,17590,0,257
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Accuracy,1.19,4,25-21,3960,0,79
Aqua,1.43,9,30-21,4615,0,85
Jurd,1.18,4,26-22,3990,0,75
Loony,0.71,-7,17-24,3010,0,71
Temp,1.2,4,24-20,3990,0,62
Totals,1.13,14,122-108,19565,0,372
Denial,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,0.5,-3,3-6,740,0,0:1
Natshay,1,0,8-8,1090,0,0:0
Rizk,0.86,-1,6-7,675,0,0:2
Wailers,0.33,-6,3-9,525,0,3:3
Zeeked,0.57,-3,4-7,965,0,0:0
Totals,0.65,-13,24-37,3995,0,3:6
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Accuracy,1,0,5-5,750,0,2:0
Aqua,1.2,1,6-5,1680,0,0:0
Jurd,1.2,1,6-5,1020,0,1:2
Loony,3,8,12-4,1585,0,1:0
Temp,1.17,1,7-6,950,0,2:1
Totals,1.44,11,36-25,5985,0,6:3
Denial,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,1.27,4,19-15,2800,0,1:0
Natshay,0.88,-2,15-17,2975,0,0:0
Rizk,1.25,3,15-12,2575,0,0:0
Wailers,1.64,7,18-11,2985,0,0:1
Zeeked,2.13,9,17-8,2860,0,1:0
Totals,1.33,21,84-63,14195,0,2:1
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Accuracy,1.21,3,17-14,3065,0,1:1
Aqua,0.87,-2,13-15,2720,0,0:0
Jurd,0.71,-5,12-17,2275,0,0:0
Loony,0.63,-7,12-19,1900,0,0:1
Temp,0.47,-10,9-19,1800,0,0:0
Totals,0.75,-21,63-84,11760,0,1:2
Denial,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,1.28,5,23-18,3660,0,91
Natshay,1.17,3,21-18,3955,0,99
Rizk,1.88,14,30-16,4265,0,78
Wailers,1.71,10,24-14,4380,0,72
Zeeked,1.33,5,20-15,3975,0,69
Totals,1.46,37,118-81,20235,0,409
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Accuracy,0.71,-6,15-21,2645,0,51
Aqua,0.5,-12,12-24,2090,0,41
Jurd,0.76,-6,19-25,2975,0,45
Loony,0.63,-9,15-24,2350,0,45
Temp,0.79,-5,19-24,2905,0,35
Totals,0.68,-38,80-118,12965,0,217
Denial,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,1.6,3,8-5,1590,0,0:2
Natshay,1.14,1,8-7,1280,0,1:0
Rizk,2.4,7,12-5,1835,0,1:2
Wailers,0.83,-1,5-6,675,0,1:2
Zeeked,0.5,-4,4-8,700,0,0:0
Totals,1.19,6,37-31,6080,0,3:6
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Accuracy,0.33,-6,3-9,300,0,0:1
Aqua,0.75,-2,6-8,750,0,2:0
Jurd,0.57,-3,4-7,765,0,1:0
Loony,1.33,2,8-6,1210,0,2:1
Temp,1.43,3,10-7,1525,0,1:1
Totals,0.84,-6,31-37,4550,0,6:3
