Denial,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,0.95,-1,18-19,3395,0,61
Natshay,0.8,-4,16-20,3210,0,89
Rizk,2.25,15,27-12,4120,0,33
Wailers,1.64,7,18-11,3395,0,50
Zeeked,1,0,13-13,2185,0,80
Totals,1.23,17,92-75,16305,0,313
Excelerate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Beehzy,1.07,1,16-15,2740,0,31
Believe,0.41,-13,9-22,1690,0,30
MRuiz,0.94,-1,16-17,2790,0,86
Profeezy,0.71,-6,15-21,2080,0,26
RobbieB3319,1.12,2,19-17,2565,0,83
Totals,0.82,-17,75-92,11865,0,256
Denial,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,1.4,2,7-5,930,0,1:0
Natshay,1.17,1,7-6,1445,0,2:1
Rizk,1.25,2,10-8,1525,0,1:2
Wailers,1.17,1,7-6,975,0,2:0
Zeeked,1,0,5-5,1770,0,0:0
Totals,1.2,6,36-30,6645,0,6:3
Excelerate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Beehzy,0.57,-3,4-7,480,0,1:1
Believe,0.71,-2,5-7,1030,0,1:3
MRuiz,0.57,-3,4-7,680,0,0:0
Profeezy,1.25,2,10-8,1455,0,1:0
RobbieB3319,0.57,-3,4-7,900,0,0:2
Totals,0.75,-9,27-36,4545,0,3:6
Denial,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,0.67,-5,10-15,1700,0,0:1
Natshay,0.79,-3,11-14,1625,0,1:0
Rizk,0.92,-1,11-12,1725,0,0:1
Wailers,0.43,-8,6-14,1200,0,0:0
Zeeked,0.94,-1,15-16,1890,0,0:0
Totals,0.75,-18,53-71,8140,0,1:2
Excelerate,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Beehzy,0.77,-3,10-13,2225,0,0:0
Believe,1,0,11-11,2250,0,1:0
MRuiz,3.14,15,22-7,3860,0,0:0
Profeezy,1.5,5,15-10,2500,0,1:0
RobbieB3319,1.08,1,13-12,2675,0,0:1
Totals,1.34,18,71-53,13510,0,2:1
Denial,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,1.07,1,15-14,2850,0,91
Natshay,1.43,3,10-7,2110,0,99
Rizk,1.46,6,19-13,3040,0,59
Wailers,1.9,9,19-10,3190,0,90
Zeeked,1.6,6,16-10,2570,0,71
Totals,1.46,25,79-54,13760,0,410
Excelerate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Beehzy,1.36,4,15-11,2095,0,30
Believe,0.29,-12,5-17,1440,0,35
MRuiz,0.6,-6,9-15,1985,0,16
Profeezy,0.6,-8,12-20,1875,0,1
RobbieB3319,0.81,-3,13-16,2020,0,20
Totals,0.68,-25,54-79,9415,0,102
