100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Enable,1.06,1,18-17,3335,0,58
Kenny,1.06,1,19-18,2715,0,35
Octane,1,0,19-19,3310,0,69
Priestahh,1.37,7,26-19,3995,0,103
Slasher,1.31,5,21-16,3375,0,114
Totals,1.16,14,103-89,16730,0,379
Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Diabolic,0.9,-2,18-20,2575,0,41
Frosty,1.11,2,20-18,3580,0,68
General,0.78,-4,14-18,2400,0,23
Kade,0.67,-8,16-24,2015,0,28
Kismet,0.91,-2,21-23,3140,0,81
Totals,0.86,-14,89-103,13710,0,241
100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,0.6,-2,3-5,1180,0,0:2
Kenny,0.5,-3,3-6,900,0,0:1
Octane,1.2,1,6-5,925,0,1:0
Priestahh,3.6,13,18-5,2180,0,2:0
Slasher,1.8,4,9-5,1325,0,2:1
Totals,1.5,13,39-26,6510,0,5:4
Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Diabolic,1.29,2,9-7,1350,0,3:0
Frosty,0.33,-6,3-9,580,0,0:1
General,0.38,-5,3-8,325,0,0:1
Kade,1,0,7-7,1825,0,0:0
Kismet,0.44,-5,4-9,690,0,1:3
Totals,0.65,-14,26-40,4770,0,4:5
100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,1.1,1,11-10,2155,0,0:0
Kenny,2,11,22-11,3410,0,1:0
Octane,1,0,15-15,3225,0,0:1
Priestahh,1,0,14-14,2225,0,0:1
Slasher,1.54,7,20-13,3775,0,0:0
Totals,1.3,19,82-63,14790,0,1:2
Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Diabolic,1.07,1,15-14,2150,0,1:0
Frosty,0.81,-3,13-16,2545,0,0:0
General,0.75,-4,12-16,1975,0,0:0
Kade,0.76,-4,13-17,2170,0,1:0
Kismet,0.53,-9,10-19,1750,0,0:1
Totals,0.77,-19,63-82,10590,0,2:1
