eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Abezy,2.07,15,29-14,5145,0,127
Arcitys,1.13,2,17-15,3280,0,107
Clayster,1.35,7,27-20,3985,0,78
JKap,0.95,-1,19-20,3380,0,49
Prestinni,1.41,7,24-17,4205,0,70
Totals,1.35,30,116-86,19995,0,431
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Accuracy,0.6,-10,15-25,2370,0,58
Aqua,0.52,-11,12-23,2960,0,24
Jurd,0.79,-5,19-24,3635,0,34
Loony,0.91,-2,20-22,3455,0,50
Temp,0.91,-2,20-22,3315,0,49
Totals,0.74,-30,86-116,15735,0,215
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,0.91,-1,10-11,1325,0,0:2
Arcitys,1,0,7-7,1710,0,0:1
Clayster,1.38,3,11-8,1505,0,1:3
JKap,0.5,-4,4-8,985,0,0:1
Prestinni,0.8,-2,8-10,1555,0,0:3
Totals,0.91,-4,40-44,7080,0,1:10
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Accuracy,0.44,-5,4-9,575,0,1:0
Aqua,1.11,1,10-9,1670,0,4:1
Jurd,0.86,-1,6-7,1200,0,2:0
Loony,1.86,6,13-7,2265,0,1:0
Temp,1.11,1,10-9,1525,0,2:0
Totals,1.05,2,43-41,7235,0,10:1
eUnited,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,0.93,-2,28-30,4200,0,1:0
Arcitys,0.69,-8,18-26,3105,0,0:0
Clayster,0.68,-9,19-28,3215,0,1:2
JKap,1.21,4,23-19,4390,0,0:0
Prestinni,0.96,-1,26-27,4300,0,0:1
Totals,0.88,-16,114-130,19210,0,2:3
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Accuracy,0.84,-4,21-25,3560,0,2:0
Aqua,0.91,-2,21-23,5030,0,0:0
Jurd,1.29,6,27-21,4300,0,1:2
Loony,1,0,25-25,4740,0,0:0
Temp,1.8,16,36-20,5425,0,0:0
Totals,1.14,16,130-114,23055,0,3:2
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Abezy,0.87,-4,27-31,4120,0,55
Arcitys,1.09,2,25-23,3955,0,105
Clayster,1.24,5,26-21,3995,0,60
JKap,0.91,-2,21-23,3400,0,65
Prestinni,0.85,-4,23-27,4335,0,84
Totals,0.98,-3,122-125,19805,0,369
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Accuracy,0.85,-4,22-26,4045,0,95
Aqua,1.52,12,35-23,5070,0,59
Jurd,0.93,-2,25-27,4315,0,44
Loony,0.46,-14,12-26,2440,0,92
Temp,1.45,9,29-20,4860,0,53
Totals,1.01,1,123-122,20730,0,343
