Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
JurNii,1.45,9,29-20,4530,5523,44
Lucky,0.71,-6,15-21,3170,4114,60
MethodZsick,0.71,-6,15-21,2740,3748,124
Mettalz,0.77,-5,17-22,2955,3894,67
Sukry,0.59,-9,13-22,2540,4264,70
Totals,0.84,-17,89-106,15935,21543,365
UYU,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Knight,1.43,6,20-14,3635,3755,77
Mayhem,1.29,6,27-21,3820,4758,67
Methodz,1.18,3,20-17,4260,5050,92
Parzelion,0.84,-3,16-19,2410,3176,67
Proto,1.21,4,23-19,4220,4347,90
Totals,1.18,16,106-90,18345,21086,393
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,0.88,-1,7-8,1740,1812,1:1
Lucky,0.44,-5,4-9,550,1208,1:1
MethodZsick,0.89,-1,8-9,1245,1484,1:0
Mettalz,1.14,1,8-7,1500,1394,2:1
Sukry,2,6,12-6,1855,2296,2:1
Totals,1,0,39-39,6890,8194,7:4
UYU,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Knight,1.22,2,11-9,1410,1877,0:0
Mayhem,1.13,1,9-8,1275,1742,0:2
Methodz,0.11,-8,1-9,350,1278,0:4
Parzelion,2,7,14-7,1900,2280,1:1
Proto,0.57,-3,4-7,1325,1270,3:0
Totals,0.98,-1,39-40,6260,8447,4:7
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,0.72,-5,13-18,2465,3271,0:1
Lucky,0.83,-3,15-18,2900,3379,0:0
MethodZsick,0.74,-5,14-19,2025,3458,0:0
Mettalz,0.83,-3,15-18,2300,3379,0:1
Sukry,1.06,1,18-17,2810,4428,1:0
Totals,0.83,-15,75-90,12500,17915,1:2
UYU,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Knight,1.21,3,17-14,3155,3573,0:0
Mayhem,1.29,4,18-14,3250,3218,0:0
Methodz,1.75,9,21-12,3640,4266,0:0
Parzelion,1.12,2,19-17,3520,3901,0:0
Proto,0.83,-3,15-18,2575,3237,2:1
Totals,1.2,15,90-75,16140,18195,2:1
