Excelerate,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Brack,1.74,14,33-19,5260,6272,106
Jetli,0.96,-1,22-23,4200,5014,88
MRuiz,0.86,-3,18-21,3490,4347,30
Profeezy,1,0,24-24,4985,5682,89
Skyz,1.37,7,26-19,4745,4994,79
Totals,1.16,17,123-106,22680,26309,392
Red Reserve,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Bance,0.95,-1,21-22,3875,4829,83
Joee,0.92,-2,24-26,3925,4436,35
Rated,0.67,-8,16-24,3555,4239,82
Skrapz,1.43,9,30-21,4415,6454,46
Zer0,0.5,-15,15-30,2795,4263,40
Totals,0.86,-17,106-123,18565,24221,286
Excelerate,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Brack,2,5,10-5,1450,1951,0:0
Jetli,0.86,-1,6-7,975,1188,0:3
MRuiz,0.6,-2,3-5,525,761,0:1
Profeezy,2.2,6,11-5,2175,2727,0:1
Skyz,0.63,-3,5-8,1125,2164,3:1
Totals,1.17,5,35-30,6250,8791,3:6
Red Reserve,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Bance,0.43,-4,3-7,825,871,1:1
Joee,0.75,-2,6-8,1000,1154,1:1
Rated,0.25,-6,2-8,770,1020,1:0
Skrapz,1.17,1,7-6,825,1447,1:0
Zer0,2,6,12-6,1675,2976,2:1
Totals,0.86,-5,30-35,5095,7468,6:3
Excelerate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Brack,1,0,17-17,2725,4496,0:0
Jetli,0.7,-6,14-20,2425,4159,0:2
MRuiz,1.29,6,27-21,4125,4504,1:0
Profeezy,0.94,-1,15-16,3180,3574,0:0
Skyz,1.13,2,18-16,2875,4957,0:0
Totals,1.01,1,91-90,15330,21690,1:2
Red Reserve,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Bance,0.89,-2,17-19,3290,4150,0:0
Joee,0.57,-10,13-23,2520,2887,1:0
Rated,1.43,6,20-14,3135,4521,0:0
Skrapz,1.06,1,18-17,3725,4615,1:1
Zer0,1.22,4,22-18,3950,5183,0:0
Totals,0.99,-1,90-91,16620,21356,2:1
Excelerate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Brack,1.18,3,20-17,2955,4015,42
Jetli,0.95,-1,19-20,3190,4209,24
MRuiz,0.91,-2,20-22,3750,4478,53
Profeezy,0.45,-12,10-22,2440,2309,59
Skyz,1.2,4,24-20,4740,5204,80
Totals,0.92,-8,93-101,17075,20215,258
Red Reserve,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Bance,1.47,7,22-15,3200,3859,73
Joee,0.71,-6,15-21,3105,3196,49
Rated,0.81,-3,13-16,3295,3383,125
Skrapz,2.06,17,33-16,5635,5934,90
Zer0,0.72,-7,18-25,3400,4377,47
Totals,1.09,8,101-93,18635,20749,384
Excelerate,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Brack,1.47,1.38,22,80-58,12390,16734
Jetli,0.86,0.87,-9,61-70,10790,14570
MRuiz,0.94,0.99,-1,68-69,11890,14090
Profeezy,1.1,0.9,-7,60-67,12780,14292
Skyz,1.03,1.16,10,73-63,13485,17319
Totals,1.07,1.05,15,342-327,61335,77005
Red Reserve,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Bance,0.87,1,0,63-63,11190,13709
Joee,0.74,0.74,-20,58-78,10550,11673
Rated,0.71,0.82,-11,51-62,10755,13163
Skrapz,1.39,1.47,28,88-60,14600,18450
Zer0,1.05,0.85,-12,67-79,11820,16799
Totals,0.94,0.96,-15,327-342,58915,73794
