Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Classic,1.18,3,20-17,3345,4301,61
Formal,1.06,1,18-17,3495,4299,73
Gunless,2.5,18,30-12,4960,5150,140
John,1.18,3,20-17,3500,3842,55
Slacked,1.29,5,22-17,3625,4033,53
Totals,1.38,30,110-80,18925,21625,382
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aches,0.64,-8,14-22,3120,4201,57
Apathy,0.61,-9,14-23,3065,3525,38
Assault,0.76,-5,16-21,3355,3837,18
Huke,0.86,-3,18-21,3045,3243,28
Silly,0.78,-5,18-23,3045,3526,19
Totals,0.73,-30,80-110,15630,18332,160
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,3.25,9,13-4,1550,2135,2:0
Formal,1.17,1,7-6,1300,1202,1:0
Gunless,1.2,1,6-5,1100,1864,1:0
John,0.83,-1,5-6,550,1190,1:2
Slacked,0.6,-2,3-5,525,616,1:0
Totals,1.31,8,34-26,5025,7007,6:2
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,0.71,-2,5-7,550,1271,0:1
Apathy,0.86,-1,6-7,700,927,1:1
Assault,0.86,-1,6-7,900,1513,0:1
Huke,0.75,-2,6-8,925,1766,1:0
Silly,0.5,-3,3-6,550,880,0:3
Totals,0.74,-9,26-35,3625,6357,2:6
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,0.54,-11,13-24,2375,4283,1:0
Formal,0.68,-6,13-19,2875,4366,1:0
Gunless,1.22,4,22-18,3225,4908,0:0
John,0.84,-4,21-25,3870,3648,0:1
Slacked,1.05,1,20-19,3050,4309,1:0
Totals,0.85,-16,89-105,15395,21514,3:1
Team Envy,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,1.1,2,22-20,3525,5381,0:2
Apathy,0.8,-4,16-20,3020,3258,0:0
Assault,0.88,-2,15-17,3075,4495,1:1
Huke,1.56,9,25-16,3375,5247,0:0
Silly,1.69,11,27-16,4205,4870,0:0
Totals,1.18,16,105-89,17200,23251,1:3
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Classic,1.04,1,29-28,4735,7138,36
Formal,0.61,-12,19-31,3110,4050,35
Gunless,0.9,-3,27-30,4685,5831,90
John,0.73,-8,22-30,4770,4757,62
Slacked,0.68,-8,17-25,3470,4389,64
Totals,0.79,-30,114-144,20770,26165,287
Team Envy,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aches,1.19,5,31-26,5150,7565,56
Apathy,0.92,-2,22-24,4765,4560,81
Assault,1.08,2,26-24,4575,4775,107
Huke,2.2,24,44-20,6925,7357,69
Silly,1,0,21-21,3590,3939,60
Totals,1.25,29,144-115,25005,28196,373
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,0.86,-1,6-7,975,1193,0:1
Formal,0.33,-4,2-6,825,1473,0:1
Gunless,1.71,5,12-7,2000,3453,1:0
John,0.27,-8,3-11,725,1303,1:3
Slacked,1.86,6,13-7,2325,2051,2:1
Totals,0.95,-2,36-38,6850,9473,4:6
Team Envy,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,0.88,-1,7-8,1575,2275,2:1
Apathy,0.89,-1,8-9,1190,1332,0:1
Assault,2.2,6,11-5,2275,2867,0:0
Huke,0.57,-3,4-7,825,1016,2:2
Silly,1.14,1,8-7,1805,1544,2:0
Totals,1.06,2,38-36,7670,9034,6:4
