eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Abezy,0.96,-1,27-28,4855,6645,37
Arcitys,1,0,21-21,3310,4881,69
Clayster,1.45,10,32-22,5035,5866,68
Prestinni,0.93,-2,26-28,3730,5245,63
Simp,1.08,2,28-26,4380,5205,87
Totals,1.07,9,134-125,21310,27842,324
Evil Geniuses,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Attach,0.88,-3,22-25,4460,4696,93
Felony,0.69,-10,22-32,3200,4443,65
Goonjar,0.93,-2,25-27,3870,5963,31
Royalty,0.85,-4,22-26,3635,5095,65
Xotic,1.42,10,34-24,5395,6107,66
Totals,0.93,-9,125-134,20560,26304,320
eUnited,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,1.57,4,11-7,1440,1355,0:3
Arcitys,0.2,-8,2-10,675,1002,0:2
Clayster,0.5,-5,5-10,625,1429,2:4
Prestinni,0.5,-4,4-8,1375,1548,0:0
Simp,1.4,4,14-10,1900,2345,0:0
Totals,0.8,-9,36-45,6015,7679,2:9
Evil Geniuses,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Attach,2,7,14-7,2330,2114,3:1
Felony,0.78,-2,7-9,1275,1861,2:0
Goonjar,0.71,-2,5-7,950,1359,1:0
Royalty,1.44,4,13-9,1775,2353,3:1
Xotic,1.5,2,6-4,1940,1220,0:0
Totals,1.25,9,45-36,8270,8907,9:2
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,0.82,-4,18-22,3350,4405,2:1
Arcitys,1.18,3,20-17,3750,4366,1:0
Clayster,1.42,8,27-19,4555,5469,0:0
Prestinni,1.11,2,21-19,3500,4320,0:0
Simp,1.06,1,19-18,3175,3753,0:0
Totals,1.11,10,105-95,18330,22313,3:1
Evil Geniuses,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Attach,0.76,-5,16-21,3615,3893,0:0
Felony,0.91,-2,20-22,3100,4741,0:1
Goonjar,1.15,3,23-20,3665,5146,0:0
Royalty,1.21,4,23-19,3525,4209,0:1
Xotic,0.54,-11,13-24,2725,3977,1:1
Totals,0.9,-11,95-106,16630,21966,1:3
eUnited,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Abezy,0.68,-7,15-22,2315,2979,22
Arcitys,0.63,-7,12-19,1800,3048,56
Clayster,0.3,-16,7-23,1730,2323,24
Prestinni,1,0,20-20,2825,3897,38
Simp,0.95,-1,18-19,2520,4047,25
Totals,0.7,-31,72-103,11190,16294,165
Evil Geniuses,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Attach,2.64,18,29-11,4095,3868,67
Felony,0.82,-3,14-17,3060,3317,75
Goonjar,2,12,24-12,4135,5197,47
Royalty,1,0,17-17,3555,3787,85
Xotic,1.27,4,19-15,3615,3704,62
Totals,1.43,31,103-72,18460,19873,336
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,2.4,7,12-5,1935,1710,3:0
Arcitys,1,0,5-5,1175,1671,2:0
Clayster,1.67,2,5-3,1075,1717,0:1
Prestinni,1.4,2,7-5,1150,1386,1:0
Simp,1.67,4,10-6,1225,1677,1:1
Totals,1.63,15,39-24,6560,8161,7:2
Evil Geniuses,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Attach,0.78,-2,7-9,1150,1748,0:1
Felony,0.71,-2,5-7,675,1120,0:2
Goonjar,0.33,-6,3-9,425,864,2:2
Royalty,0.63,-3,5-8,625,1056,0:1
Xotic,0.43,-4,3-7,1115,840,0:1
Totals,0.58,-17,23-40,3990,5628,2:7
