Evil Geniuses,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Attach,1.56,9,25-16,4045,5752,83
Felony,0.68,-8,17-25,3015,4572,72
Goonjar,1.26,5,24-19,3435,5097,47
Royalty,1.15,3,23-20,4085,4522,101
Xotic,1.82,14,31-17,5105,5538,105
Totals,1.24,23,120-97,19685,25481,408
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
JurNii,0.86,-3,18-21,3010,4070,69
Lucky,0.52,-12,13-25,3465,3872,77
MethodZsick,0.57,-12,16-28,2350,3529,60
Mettalz,0.96,-1,24-25,3610,5084,46
Sukry,1.19,4,25-21,3890,4971,96
Totals,0.8,-24,96-120,16325,21526,348
Evil Geniuses,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Attach,1.27,3,14-11,2240,2361,5:1
Felony,0.63,-3,5-8,1150,1775,0:1
Goonjar,0.56,-4,5-9,1075,1578,0:1
Royalty,1.13,1,9-8,1275,1789,1:0
Xotic,1,0,8-8,2340,1876,1:1
Totals,0.93,-3,41-44,8080,9379,7:4
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,1.22,2,11-9,1735,2474,1:1
Lucky,1,0,8-8,1025,1834,1:0
MethodZsick,0.33,-6,3-9,1050,1163,0:1
Mettalz,2,7,14-7,2025,2546,1:3
Sukry,1,0,8-8,1770,1951,1:2
Totals,1.07,3,44-41,7605,9968,4:7
Evil Geniuses,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Attach,0.8,-3,12-15,1955,2705,0:1
Felony,0.67,-6,12-18,2475,2892,0:1
Goonjar,0.81,-3,13-16,2025,2945,0:0
Royalty,0.63,-7,12-19,2025,2720,0:1
Xotic,1,0,16-16,2595,3521,0:0
Totals,0.77,-19,65-84,11075,14783,0:3
Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,1.62,8,21-13,3995,4428,0:0
Lucky,1.07,1,16-15,2750,3366,0:0
MethodZsick,1.07,1,16-15,2675,3081,2:0
Mettalz,1.67,6,15-9,3300,2819,1:0
Sukry,1.23,3,16-13,3180,3693,0:0
Totals,1.29,19,84-65,15900,17387,3:0
Evil Geniuses,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Attach,0.86,-2,12-14,2480,2858,50
Felony,0.63,-9,15-24,2540,3107,18
Goonjar,0.67,-6,12-18,1965,3053,53
Royalty,0.8,-4,16-20,3135,3563,57
Xotic,0.73,-6,16-22,2785,3827,12
Totals,0.72,-27,71-98,12905,16408,190
Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
JurNii,2.31,17,30-13,4470,5408,76
Lucky,0.87,-2,13-15,2830,3132,97
MethodZsick,0.88,-2,14-16,2150,2574,57
Mettalz,2.08,13,25-12,4095,4259,79
Sukry,1.07,1,16-15,3210,3646,66
Totals,1.38,27,98-71,16755,19019,375
Evil Geniuses,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Attach,1.14,1,8-7,1175,1620,0:0
Felony,1.14,1,8-7,1550,2043,2:0
Goonjar,1.14,1,8-7,950,1850,2:1
Royalty,1.14,1,8-7,1125,2121,1:2
Xotic,0.38,-5,3-8,1115,1286,0:2
Totals,0.97,-1,35-36,5915,8920,5:5
Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,0.67,-3,6-9,1125,1694,2:0
Lucky,0.83,-1,5-6,1150,1774,0:1
MethodZsick,0.29,-5,2-7,500,788,1:1
Mettalz,2,6,12-6,1850,1998,1:2
Sukry,1.43,3,10-7,1350,2664,1:1
Totals,1,0,35-35,5975,8918,5:5
