eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Abezy,0.95,-1,20-21,3245,4330,51
Arcitys,0.79,-4,15-19,2675,3272,75
Clayster,1.44,8,26-18,4080,5404,75
Prestinni,1.13,2,18-16,3045,3761,104
Simp,1.43,9,30-21,4380,6187,39
Totals,1.15,14,109-95,17425,22954,344
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Knight,0.62,-8,13-21,2475,3396,60
Mayhem,0.95,-1,19-20,2950,2687,56
Methodz,0.61,-9,14-23,2460,4688,41
Parzelion,1.56,10,28-18,4670,5859,145
Proto,0.78,-6,21-27,3005,4541,35
Totals,0.87,-14,95-109,15560,21171,337
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,1.43,3,10-7,1560,2174,2:1
Arcitys,0.86,-1,6-7,950,1987,2:1
Clayster,1.14,1,8-7,1125,1875,3:1
Prestinni,0.86,-1,6-7,1090,1578,0:1
Simp,1.38,3,11-8,1400,1935,0:0
Totals,1.14,5,41-36,6125,9549,7:4
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Knight,0.8,-2,8-10,1115,1465,1:3
Mayhem,1.13,1,9-8,1475,2256,1:1
Methodz,0.78,-2,7-9,1000,1717,2:3
Parzelion,0.38,-5,3-8,675,1424,0:0
Proto,1,0,9-9,2050,1820,0:0
Totals,0.82,-8,36-44,6315,8682,4:7
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,1.42,5,17-12,2575,3356,0:0
Arcitys,1.67,6,15-9,2585,3208,0:0
Clayster,2.43,10,17-7,2170,3465,0:0
Prestinni,1.1,1,11-10,1815,2479,1:1
Simp,0.94,-1,16-17,2950,4146,1:0
Totals,1.38,21,76-55,12095,16654,2:1
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Knight,0.43,-8,6-14,1110,1773,0:0
Mayhem,0.65,-6,11-17,1675,2468,1:0
Methodz,1.5,6,18-12,2740,3431,0:0
Parzelion,0.6,-6,9-15,1625,2231,0:1
Proto,0.61,-7,11-18,1825,2472,0:1
Totals,0.72,-21,55-76,8975,12375,1:2
