Excelerate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Brack,0.64,-10,18-28,3695,4074,47
Jetli,1,0,29-29,5110,4952,60
MRuiz,0.95,-1,21-22,4065,4444,22
Profeezy,1,0,22-22,4495,4873,65
Skyz,1,0,24-24,4155,4649,59
Totals,0.91,-11,114-125,21520,22992,253
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Classic,0.73,-7,19-26,3585,5478,28
Formal,1.1,2,23-21,3585,4801,104
Gunless,1.42,10,34-24,5265,7044,96
John,1,0,24-24,4305,4225,51
Slacked,1.32,6,25-19,4245,4656,73
Totals,1.1,11,125-114,20985,26204,352
Excelerate,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Brack,2.75,7,11-4,1500,1974,0:1
Jetli,0.5,-4,4-8,750,1105,2:1
MRuiz,1.4,2,7-5,1000,1485,0:0
Profeezy,1.4,2,7-5,1945,1459,2:1
Skyz,0.5,-3,3-6,600,1203,2:0
Totals,1.14,4,32-28,5795,7226,6:3
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,1.33,2,8-6,900,1095,1:0
Formal,1.33,2,8-6,1250,1496,2:2
Gunless,0.38,-5,3-8,625,1162,0:1
John,1,0,6-6,1175,1769,0:1
Slacked,0.13,-7,1-8,530,943,0:2
Totals,0.76,-8,26-34,4480,6465,3:6
Excelerate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Brack,1.08,1,14-13,1800,2742,0:0
Jetli,0.65,-8,15-23,2100,3134,0:1
MRuiz,0.82,-3,14-17,2175,3435,1:0
Profeezy,0.93,-1,13-14,1825,2795,0:0
Skyz,0.63,-6,10-16,1625,2792,0:1
Totals,0.8,-17,66-83,9525,14898,1:2
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,1.23,3,16-13,2300,3565,0:1
Formal,1.07,1,15-14,2675,3649,1:0
Gunless,1.64,7,18-11,3250,2974,0:0
John,1.54,7,20-13,3315,3805,1:0
Slacked,0.93,-1,14-15,2975,2914,0:0
Totals,1.26,17,83-66,14515,16907,2:1
Excelerate,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Brack,1.63,12,31-19,4690,5706,55
Jetli,0.6,-10,15-25,2440,3347,30
MRuiz,1.19,3,19-16,3170,4545,48
Profeezy,0.81,-4,17-21,3420,3081,113
Skyz,1.79,11,25-14,4805,4536,144
Totals,1.13,12,107-95,18525,21215,390
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Classic,0.96,-1,22-23,3945,4386,22
Formal,1,0,19-19,2995,3869,59
Gunless,1.09,2,25-23,3740,5328,26
John,0.57,-10,13-23,2875,3557,31
Slacked,0.8,-4,16-20,3670,3377,94
Totals,0.88,-13,95-108,17225,20517,232
Excelerate,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Brack,0.83,-1,5-6,950,1031,1:0
Jetli,0.57,-3,4-7,525,1123,1:3
MRuiz,0.5,-4,4-8,700,1519,0:2
Profeezy,0.29,-5,2-7,900,708,0:1
Skyz,1.17,1,7-6,1100,1255,0:0
Totals,0.65,-12,22-34,4175,5636,2:6
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,2.67,5,8-3,1925,1718,2:1
Formal,0.75,-1,3-4,1075,1234,0:0
Gunless,1,0,6-6,1200,1730,0:0
John,1.75,3,7-4,1100,987,3:0
Slacked,1.8,4,9-5,1425,1222,1:1
Totals,1.5,11,33-22,6725,6891,6:2
