Red Reserve,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Bance,0.68,-8,17-25,3105,4575,38
Joee,0.84,-5,26-31,4670,4328,69
Rated,2.07,15,29-14,4750,5148,130
Skrapz,1.13,3,26-23,4410,5865,44
Zer0,0.74,-7,20-27,3350,4332,46
Totals,0.98,-2,118-120,20285,24248,327
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aches,0.73,-7,19-26,3760,5456,60
Apathy,0.78,-5,18-23,2915,3481,94
Assault,1.33,8,32-24,4485,5342,81
Huke,1.55,11,31-20,4470,5403,76
Silly,0.8,-5,20-25,3675,4740,58
Totals,1.02,2,120-118,19305,24422,369
Red Reserve,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Bance,0.22,-7,2-9,525,851,0:3
Joee,0.63,-3,5-8,895,1227,0:1
Rated,0.33,-6,3-9,325,1016,0:0
Skrapz,1.43,3,10-7,1200,2127,0:3
Zer0,1.14,1,8-7,875,1718,1:1
Totals,0.7,-12,28-40,3820,6939,1:8
Team Envy,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,2.25,5,9-4,1125,1903,1:0
Apathy,0.86,-1,6-7,1235,1166,1:0
Assault,0.86,-1,6-7,950,1777,3:1
Huke,3.25,9,13-4,1925,2136,3:0
Silly,1,0,6-6,1770,1537,0:0
Totals,1.43,12,40-28,7005,8519,8:1
Red Reserve,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Bance,0.77,-6,20-26,3885,4649,0:0
Joee,0.92,-2,24-26,5050,4951,0:0
Rated,1.43,9,30-21,5555,6596,2:0
Skrapz,1.57,13,36-23,5900,6978,0:0
Zer0,0.82,-5,23-28,4475,5391,0:2
Totals,1.07,9,133-124,24865,28565,2:2
Team Envy,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,0.79,-6,22-28,4200,5959,1:1
Apathy,1.04,1,25-24,4465,5206,0:0
Assault,0.83,-4,20-24,4300,6279,0:1
Huke,1.24,7,36-29,5225,6110,1:0
Silly,0.75,-7,21-28,4340,5036,0:0
Totals,0.93,-9,124-133,22530,28590,2:2
Red Reserve,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Bance,0.91,-2,20-22,3905,4244,80
Joee,0.92,-2,23-25,3940,4722,43
Rated,2.07,15,29-14,4180,4878,116
Skrapz,1.63,10,26-16,5000,5634,70
Zer0,0.84,-4,21-25,3470,4611,67
Totals,1.17,17,119-102,20495,24089,376
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aches,0.73,-7,19-26,2895,4891,61
Apathy,0.54,-12,14-26,3115,3648,38
Assault,1.35,6,23-17,3690,4725,107
Huke,1.08,2,27-25,5205,5422,68
Silly,0.76,-6,19-25,3615,5050,37
Totals,0.86,-17,102-119,18520,23736,311
Red Reserve,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Bance,0.57,-3,4-7,700,835,0:1
Joee,0.38,-5,3-8,725,699,0:2
Rated,0.29,-5,2-7,450,394,0:1
Skrapz,1.67,4,10-6,1525,2191,2:1
Zer0,0.71,-2,5-7,550,1175,0:1
Totals,0.69,-11,24-35,3950,5294,2:6
Team Envy,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,2.75,7,11-4,1360,2063,0:1
Apathy,0.5,-3,3-6,795,766,2:0
Assault,1.2,1,6-5,850,1162,1:0
Huke,1.67,4,10-6,1375,1705,3:1
Silly,1.67,2,5-3,1215,971,0:0
Totals,1.46,11,35-24,5595,6667,6:2
